trial,raw_file,toggle_index,toggle_s,first_event_s,latency_us,detected_within_window,iqr_outlier
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,0,2.0,2.00002,20.000000000131024,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,1,3.0,3.000126,125.99999999984846,1,1
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,2,4.0,4.000033999999999,33.99999999942338,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,3,5.0,5.000019,18.999999999991246,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,4,6.0,6.000013999999999,13.999999999292356,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,5,7.0,7.000006,5.999999999950489,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,6,8.0,8.000002,2.000000000279556,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,7,9.0,9.000002,2.000000000279556,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,8,10.0,10.0,0.0,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,9,11.0,11.000002,2.000000000279556,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,10,12.0,12.000014,14.000000000180535,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,11,13.0,13.000033,33.00000000017178,1,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,12,14.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,13,15.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,14,16.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,15,17.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,16,18.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,17,19.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,18,20.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,19,21.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,20,22.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,21,23.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,22,24.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,23,25.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,24,26.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,25,27.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,26,28.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,27,29.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,28,30.0,,,0,0
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,29,31.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,0,2.0,2.000043,42.999999999793204,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,1,3.0,3.0000009999999997,0.9999999996956888,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,2,4.0,4.000029,28.99999999961267,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,3,5.0,5.000001999999999,1.9999999993913775,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,4,6.0,6.000005,4.999999999810711,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,5,7.0,7.000004,3.9999999996709334,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,6,8.0,8.000001,0.9999999992515995,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,7,9.0,9.000008,7.999999999341867,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,8,10.0,10.000008,7.999999999341867,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,9,11.0,11.000007,7.000000000090267,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,10,12.0,12.000022999999999,22.999999998774,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,11,13.0,13.000034999999999,34.99999999867498,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,12,14.0,14.000003999999999,3.999999998782755,1,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,13,15.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,14,16.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,15,17.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,16,18.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,17,19.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,18,20.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,19,21.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,20,22.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,21,23.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,22,24.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,23,25.0,,,0,0
