trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,decode_rule,reliability_label,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_redo_500Hz_t1.raw,s31_replication_redo_500Hz_t1.raw.raw,500.0,502.2586638199059,calibration_autocorr_preferred,505.3977804687803,0.0062499999999999604,46210518,20967909,5.999617,2.8960000000000004,20954021,7235504.488950276,10.0,2.1999999999999997,5.096,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00023743673723437077,1,6752.057525621762,3,1464,1408,132,128,128,35,0.2734375,464,0.32954545454545453
s31_replication_redo_500Hz_t2.raw,s31_replication_redo_500Hz_t2.raw.raw,500.0,502.18189816987723,calibration_autocorr_preferred,505.32053503343894,0.006249999999999964,46243069,20986200,8.587681,2.896,20963591,7238809.046961326,10.0,4.2,7.096,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.0001583153552125209,0,7053.602860816458,47,1464,1408,132,128,128,38,0.296875,578,0.41051136363636365
s31_replication_redo_1000Hz_t1.raw,s31_replication_redo_1000Hz_t1.raw.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,38964675,17185662,4.7753749999999995,1.448,17170138,11857830.110497238,10.0,2.15,3.598,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00011894912427022519,1,4944.849315068493,12,1461,1408,132,128,128,49,0.3828125,431,0.30610795454545453
s31_replication_redo_1000Hz_t2.raw,s31_replication_redo_1000Hz_t2.raw.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,38970957,17194971,5.679879,1.4479999999999995,17176325,11862102.90055249,10.0,2.8,4.247999999999999,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.0002081609674728941,1,5601.813698630137,18,1461,1408,132,128,128,41,0.3203125,438,0.31107954545454547
s31_replication_redo_1500Hz_t1.raw,s31_replication_redo_1500Hz_t1.raw.raw,1500.0,1513.7709670739287,calibration_fft_disagreement_fallback,1513.7709670739287,0.0,30258276,13298923,4.423308,0.9658159999999998,13282216,13752325.494711211,10.0,2.15,3.1158159999999997,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.0006539958960328316,1,3260.0,52,1462,1408,132,128,128,14,0.109375,634,0.4502840909090909
s31_replication_redo_1500Hz_t2.raw,s31_replication_redo_1500Hz_t2.raw.raw,1500.0,1513.7709670739287,calibration_fft_disagreement_fallback,1513.7709670739287,0.0,30266701,13302035,4.323805,0.9658159999999998,13264556,13734040.438344367,10.0,2.1999999999999997,3.1658159999999995,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.0006077537619699041,1,3211.0000000000005,0,1462,1408,132,128,128,14,0.109375,668,0.4744318181818182
s31_replication_redo_2000Hz_t1.raw,s31_replication_redo_2000Hz_t1.raw.raw,2000.0,2019.6159690564996,calibration_fft_disagreement_fallback,2019.6159690564996,0.0,24134070,10580244,4.059953999999999,0.7240000000000002,10564974,14592505.524861874,10.0,2.05,2.774,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.000455532147742818,1,1706.0000000000005,14,1462,1408,132,128,128,9,0.0703125,668,0.4744318181818182
s31_replication_redo_2000Hz_t2.raw,s31_replication_redo_2000Hz_t2.raw.raw,2000.0,2019.3370165745857,calibration_fft_disagreement_fallback,2019.337016574586,1.1259818127284541e-16,24162289,10588893,4.199649,0.7239999999999998,10567054,14595378.45303868,10.0,2.35,3.074,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00014361149110807113,1,1678.0,10,1462,1408,132,128,128,11,0.0859375,704,0.5
s31_replication_redo_2500Hz_t1.raw,s31_replication_redo_2500Hz_t1.raw.raw,2500.0,2524.1712707182323,calibration_fft_disagreement_fallback,2508.3952002762435,0.00624999999999996,19715992,8670584,3.487621,0.5791999999999997,8334928,14390414.364640892,10.0,2.1,2.6792,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00036278174982147304,1,2049.0,35,1452,1408,131,128,128,6,0.046875,657,0.4666193181818182
s31_replication_redo_2500Hz_t2.raw,s31_replication_redo_2500Hz_t2.raw.raw,2500.0,2500.0,manifest_actual,2531.25,0.0125,19706699,8667023,3.8156969999999997,0.5791999999999997,8259934,14260935.77348067,10.0,2.15,2.7291999999999996,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,4.3456790123456786e-05,1,2035.2000000000003,18,1466,1408,132,128,128,3,0.0234375,658,0.46732954545454547
