trial,raw_file,frequency_hz,message_index,decoded_bits,truth_bits,correct
100_blue_T1,100_blue_T1.raw,300.0,0,01110001110,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,1,01111110001,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,2,00000000000,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,3,00000000110,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,4,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,5,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,6,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,7,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,8,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,9,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,10,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,11,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,12,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,13,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,14,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,15,10110010110,10110010110,1
100_blue_T1,100_blue_T1.raw,300.0,16,10111100110,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,17,11111111111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,18,11111111111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,19,11111111111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,20,11111111111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,21,11111111111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,22,11111111111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,23,00111000111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,24,00111000111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,25,00111000111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,26,00111000111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,27,00111000111,10110010110,0
100_blue_T1,100_blue_T1.raw,300.0,28,00111000111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,0,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,1,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,2,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,3,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,4,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,5,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,6,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,7,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,8,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,9,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,10,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,11,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,12,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,13,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,14,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,15,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,16,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,17,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,18,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,19,11111111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,20,11111111110,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,21,11100011100,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,22,11100011100,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,23,11100011100,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,24,10011100010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,25,01100010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,26,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,27,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,28,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,29,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,30,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,31,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,32,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,33,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,34,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,35,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,36,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,37,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,38,10011010010,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,39,10000110000,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,40,00001111111,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,41,01110001110,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,42,01110001110,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,43,01110001110,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,44,01110001110,10110010110,0
100_blue_T2,100_blue_T2.raw,300.0,45,01110001110,10110010110,0
