trial,raw_file,frequency_hz,symbol_rate_hz,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,phase_s,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_500Hz_t1,s31_replication_500Hz_t1.raw,500.0,500.0,9.395973999999999,2.896,141872748,37359702.3480663,25.0,4.718,7.614,0.0,0.0,2.896,manifest_peak_window,8e-05,74744.28108785524,6,1447,1441,131,0,0.0,662,0.4594031922276197
s31_replication_500Hz_t2,s31_replication_500Hz_t2.raw,500.0,500.0,8.719949999999999,2.896,141994712,36906707.52762431,25.0,5.20225,8.09825,0.0,0.0,2.896,manifest_peak_window,0.00072,73872.8272372634,0,1447,1441,131,0,0.0,671,0.46564885496183206
s31_replication_1000Hz_t1,s31_replication_1000Hz_t1.raw,1000.0,1000.0,7.175914,1.4479999999999995,109844878,57236414.36464091,25.0,4.51325,5.96125,0.0,0.0,1.448,manifest_peak_window,0.00028000000000000003,57276.441738688554,9,1447,1441,131,0,0.0,690,0.47883414295628035
s31_replication_1000Hz_t2,s31_replication_1000Hz_t2.raw,1000.0,1000.0,8.531914,1.4479999999999995,109770207,57716059.392265216,25.0,6.08025,7.52825,0.0,0.0,1.448,manifest_peak_window,0.0009600000000000001,57750.396291350495,2,1447,1430,130,0,0.0,684,0.4783216783216783
s31_replication_1500Hz_t1,s31_replication_1500Hz_t1.raw,1500.0,1499.2503748125937,5.899941,0.9659300000000011,88009379,69221857.69155107,25.0,4.0286599999999995,4.9945900000000005,0.0,0.0,0.965816,manifest_peak_window,0.00018676,46194.07448725002,4,1447,1430,130,0,0.0,662,0.46293706293706294
s31_replication_1500Hz_t2,s31_replication_1500Hz_t2.raw,1500.0,1499.2503748125937,7.183974,0.9659300000000011,88166212,69552241.88088156,25.0,4.98316,5.949090000000001,0.0,0.0,0.965816,manifest_peak_window,0.00050692,46379.06121191628,1,1447,1430,130,0,0.0,664,0.4643356643356643
s31_replication_2000Hz_t1,s31_replication_2000Hz_t1.raw,2000.0,2000.0,6.091975,0.7239999999999993,70952963,74403867.403315,25.0,4.15275,4.8767499999999995,0.0,0.0,0.724,manifest_peak_window,0.0001,36964.03588581188,5,1447,1441,131,0,0.0,692,0.48022206800832756
s31_replication_2000Hz_t2,s31_replication_2000Hz_t2.raw,2000.0,2000.0,5.899982,0.7239999999999993,71023443,74698107.7348067,25.0,3.71375,4.437749999999999,0.0,0.0,0.724,manifest_peak_window,0.00022,37351.04920412951,7,1447,1441,131,0,0.0,694,0.4816099930603747
s31_replication_2500Hz_t1,s31_replication_2500Hz_t1.raw,2500.0,2500.0,5.819977,0.5792499999999996,58624364,76783413.03409587,25.0,3.9242500000000002,4.5035,0.0,0.0,0.5791999999999999,manifest_peak_window,0.00030399999999999996,30729.632632027387,7,1447,1441,131,0,0.0,702,0.4871616932685635
s31_replication_2500Hz_t2,s31_replication_2500Hz_t2.raw,2500.0,2500.0,5.699974,0.5792500000000005,58706953,77052795.8567112,25.0,3.69525,4.274500000000001,0.0,0.0,0.5791999999999999,manifest_peak_window,0.000176,30807.114985710243,6,1447,1441,131,0,0.0,705,0.4892435808466343
s31_replication_3000Hz_t1,s31_replication_3000Hz_t1.raw,3000.0,3003.003003003003,5.5438659999999995,0.4823200000000005,48996415,76114496.5997677,25.0,3.5833399999999997,4.06566,0.0,0.0,0.482184,manifest_peak_window,3.9960000000000004e-05,25350.772099447513,2,1448,1430,130,0,0.0,689,0.4818181818181818
s31_replication_3000Hz_t2,s31_replication_3000Hz_t2.raw,3000.0,3003.003003003003,5.655968,0.4823200000000001,49046302,76186579.44932823,25.0,3.44734,3.92966,0.0,0.0,0.482184,manifest_peak_window,6.66e-05,25375.966160220993,10,1448,1441,131,0,0.0,697,0.48369188063844554
