trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_patch130_500Hz_t1,s31_replication_patch130_500Hz_t1.raw,500.0,502.23719243072964,calibration_autocorr_preferred,502.23719243072964,0.0,96991627,20596924,7.331626999999999,2.896,20583334,7107504.834254144,15.0,3.25,6.146,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.001831803804786699,0,14169.85690372526,21,1453,1408,131,128,128,0,0.0,617,0.4382102272727273
s31_replication_patch130_500Hz_t2,s31_replication_patch130_500Hz_t2.raw,500.0,502.1817207636575,calibration_autocorr_preferred,502.1817207636575,0.0,96996069,20596827,6.775919,2.896,20584798,7108010.3591160225,15.0,3.0999999999999996,5.9959999999999996,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.0011151341772225789,0,14170.872293018972,29,1453,1408,131,128,128,0,0.0,619,0.4396306818181818
s31_replication_patch130_1000Hz_t1,s31_replication_patch130_1000Hz_t1.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,77720354,16678292,5.703842,1.448,16664144,11508386.740331491,15.0,2.85,4.298,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.0007929941618015013,0,11430.0214706634,2,1459,1408,132,128,128,2,0.015625,705,0.5007102272727273
s31_replication_patch130_1000Hz_t2,s31_replication_patch130_1000Hz_t2.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,77720766,16677226,5.591919,1.448,16662502,11507252.76243094,15.0,2.9499999999999997,4.398,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.00015859883236030026,0,11412.633561643835,37,1460,1408,132,128,128,3,0.0234375,711,0.5049715909090909
s31_replication_patch130_1500Hz_t1,s31_replication_patch130_1500Hz_t1.raw,1500.0,1513.6926023709689,calibration_fft_disagreement_fallback,1513.6926023709689,0.0,58957396,13141394,5.963838,0.9658159999999998,13121834,13586266.949398233,15.0,3.15,4.115816,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0003171053351573187,0,8983.66053538969,8,1461,1408,132,128,128,33,0.2578125,351,0.24928977272727273
s31_replication_patch130_1500Hz_t2,s31_replication_patch130_1500Hz_t2.raw,1500.0,1513.927720824273,calibration_fft_disagreement_fallback,1513.927720824273,0.0,59018803,13142690,5.079908,0.9658159999999998,13127550,13592185.260960683,15.0,2.9,3.8658159999999997,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0005284268125854991,0,8987.527145212975,1,1461,1408,132,128,128,33,0.2578125,336,0.23863636363636365
s31_replication_patch130_2000Hz_t1,s31_replication_patch130_2000Hz_t1.raw,2000.0,2019.6159690564996,calibration_fft_disagreement_fallback,2019.6159690564996,0.0,45948381,10419405,4.739828999999999,0.7240000000000002,10046003,13875694.751381211,15.0,3.0,3.724,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0004753378932968536,0,6877.415042257744,44,1461,1408,132,128,128,35,0.2734375,381,0.2705965909090909
s31_replication_patch130_2000Hz_t2,s31_replication_patch130_2000Hz_t2.raw,2000.0,2019.8949986184032,calibration_fft_disagreement_fallback,2019.8949986184032,0.0,45942338,10419216,4.963991,0.7240000000000002,10403351,14369269.337016571,15.0,3.0,3.724,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0004752722298221614,0,7122.427675542979,9,1461,1408,132,128,128,45,0.3515625,314,0.22301136363636365
s31_replication_patch130_2500Hz_t1,s31_replication_patch130_2500Hz_t1.raw,2500.0,2524.6241575946087,calibration_fft_disagreement_fallback,2524.6241575946087,0.0,36822893,8526858,4.4477009999999995,0.5791999999999997,8202674,14162075.276243102,15.0,2.85,3.4292,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0003644106776180698,0,5615.142957667297,46,1461,1408,132,128,128,27,0.2109375,341,0.2421875
s31_replication_patch130_2500Hz_t2,s31_replication_patch130_2500Hz_t2.raw,2500.0,2500.0,manifest_actual,2500.0,0.0,36867523,8528506,4.715838,0.5791999999999997,8085551,13959860.15193371,15.0,3.15,3.7291999999999996,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,1.6e-05,0,5589.784637501194,34,1447,1408,131,128,128,4,0.03125,666,0.47301136363636365
