trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_patch130_500Hz_t1,s31_replication_patch130_500Hz_t1.raw,500.0,502.23719243072964,calibration_autocorr_preferred,502.23719243072964,0.0,96991627,20596924,7.331626999999999,2.896,20583334,7107504.834254144,25.0,3.25,6.146,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.001831803804786699,0,14169.863664783385,21,1453,1408,131,128,128,0,0.0,619,0.4396306818181818
s31_replication_patch130_500Hz_t2,s31_replication_patch130_500Hz_t2.raw,500.0,502.1817207636575,calibration_autocorr_preferred,502.1817207636575,0.0,96996069,20596827,6.775919,2.896,20584798,7108010.3591160225,25.0,3.0999999999999996,5.9959999999999996,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.0011151341772225789,0,14170.870785824987,29,1453,1408,131,128,128,0,0.0,622,0.44176136363636365
s31_replication_patch130_1000Hz_t1,s31_replication_patch130_1000Hz_t1.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,77720354,16678292,5.703842,1.448,16664144,11508386.740331491,25.0,2.85,4.298,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.0003568473728106756,0,11413.77808219178,25,1460,1408,132,128,128,3,0.0234375,717,0.5092329545454546
s31_replication_patch130_1000Hz_t2,s31_replication_patch130_1000Hz_t2.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,77720766,16677226,5.591919,1.448,16662502,11507252.76243094,25.0,2.9499999999999997,4.398,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,activity,0.00047579649708090076,0,11412.653424657534,51,1460,1408,132,128,128,2,0.015625,369,0.26207386363636365
s31_replication_patch130_1500Hz_t1,s31_replication_patch130_1500Hz_t1.raw,1500.0,1513.6926023709689,calibration_fft_disagreement_fallback,1513.6926023709689,0.0,58957396,13141394,5.963838,0.9658159999999998,13121834,13586266.949398233,25.0,3.15,4.115816,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0003171053351573187,0,8988.308647597203,8,1461,1408,132,128,128,28,0.21875,369,0.26207386363636365
s31_replication_patch130_1500Hz_t2,s31_replication_patch130_1500Hz_t2.raw,1500.0,1513.927720824273,calibration_fft_disagreement_fallback,1513.927720824273,0.0,59018803,13142690,5.079908,0.9658159999999998,13127550,13592185.260960683,25.0,2.9,3.8658159999999997,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0005284268125854991,0,8987.510063152371,1,1461,1408,132,128,128,34,0.265625,334,0.2372159090909091
s31_replication_patch130_2000Hz_t1,s31_replication_patch130_2000Hz_t1.raw,2000.0,2019.6159690564996,calibration_fft_disagreement_fallback,2019.6159690564996,0.0,45948381,10419405,4.739828999999999,0.7240000000000002,10046003,13875694.751381211,25.0,3.0,3.724,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0,0,6871.038303693571,45,1462,1408,132,128,128,37,0.2890625,347,0.24644886363636365
s31_replication_patch130_2000Hz_t2,s31_replication_patch130_2000Hz_t2.raw,2000.0,2019.8949986184032,calibration_fft_disagreement_fallback,2019.8949986184032,0.0,45942338,10419216,4.963991,0.7240000000000002,10403351,14369269.337016571,25.0,3.0,3.724,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.000455469220246238,0,7122.449394711692,9,1461,1408,132,128,128,39,0.3046875,345,0.2450284090909091
s31_replication_patch130_2500Hz_t1,s31_replication_patch130_2500Hz_t1.raw,2500.0,2524.6241575946087,calibration_fft_disagreement_fallback,2524.6241575946087,0.0,36822893,8526858,4.4477009999999995,0.5791999999999997,8202674,14162075.276243102,25.0,2.85,3.4292,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.0003644106776180698,0,5615.146562224762,46,1461,1408,132,128,128,26,0.203125,323,0.2294034090909091
s31_replication_patch130_2500Hz_t2,s31_replication_patch130_2500Hz_t2.raw,2500.0,2500.0,manifest_actual,2500.0,0.0,36867523,8528506,4.715838,0.5791999999999997,8085551,13959860.15193371,25.0,3.15,3.7291999999999996,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,1.6e-05,0,5586.916577833306,34,1447,1408,131,128,128,4,0.03125,669,0.47514204545454547
s31_replication_patch130_3000Hz_t1,s31_replication_patch130_3000Hz_t1.raw,3000.0,3003.003003003003,manifest_actual,3003.003003003003,0.0,30449881,7194174,4.839687,0.48218400000000017,7177398,14885184.908665566,25.0,3.4499999999999997,3.932184,0.0,0.0,0.482184,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,0.00022644,0,4963.467838379979,20,1447,1408,130,128,128,3,0.0234375,709,0.5035511363636364
s31_replication_patch130_3000Hz_t2,s31_replication_patch130_3000Hz_t2.raw,3000.0,3003.003003003003,manifest_actual,3003.003003003003,0.0,30442300,7188797,4.715608,0.48218400000000017,6993068,14502903.455942124,25.0,2.8,3.282184,0.0,0.0,0.482184,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,3.9960000000000004e-05,0,4828.789100051198,33,1447,1408,131,128,128,3,0.0234375,685,0.4865056818181818
