trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,decode_rule,reliability_label,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_patch130_500Hz_t1,s31_replication_patch130_500Hz_t1.raw,500.0,502.23719243072964,calibration_autocorr_preferred,502.23719243072964,0.0,96991627,20596924,7.331626999999999,2.896,20583334,7107504.834254144,25.0,3.25,6.146,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,transition,transition,standard_analysis,0.00031857457474551286,1,5860.740027510316,8,1455,1408,131,128,128,11,0.0859375,685,0.4865056818181818
s31_replication_patch130_500Hz_t2,s31_replication_patch130_500Hz_t2.raw,500.0,502.1817207636575,calibration_autocorr_preferred,502.1817207636575,0.0,96996069,20596827,6.775919,2.896,20584798,7108010.3591160225,25.0,3.0999999999999996,5.9959999999999996,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,transition,transition,standard_analysis,0.0015133963833734998,0,6020.713020223493,37,1454,1408,131,128,128,10,0.078125,673,0.47798295454545453
s31_replication_patch130_1000Hz_t1,s31_replication_patch130_1000Hz_t1.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,77720354,16678292,5.703842,1.448,16664144,11508386.740331491,25.0,2.85,4.298,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,transition,transition,standard_analysis,0.00027754795663052545,1,3761.9297906357488,4,1461,1408,132,128,128,39,0.3046875,497,0.35298295454545453
s31_replication_patch130_1000Hz_t2,s31_replication_patch130_1000Hz_t2.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,77720766,16677226,5.591919,1.448,16662502,11507252.76243094,25.0,2.9499999999999997,4.398,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,512,320,640,448,transition,transition,standard_analysis,0.0007533444537114263,0,5031.954794520548,48,1461,1408,132,128,128,42,0.328125,522,0.37073863636363635
s31_replication_patch130_1500Hz_t1,s31_replication_patch130_1500Hz_t1.raw,1500.0,1513.6926023709689,calibration_fft_disagreement_fallback,1513.6926023709689,0.0,58957396,13141394,5.963838,0.9658159999999998,13121834,13586266.949398233,25.0,3.15,4.115816,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.0005020834473324213,0,2636.000000000001,20,1462,1408,132,128,128,13,0.1015625,600,0.42613636363636365
s31_replication_patch130_1500Hz_t2,s31_replication_patch130_1500Hz_t2.raw,1500.0,1513.927720824273,calibration_fft_disagreement_fallback,1513.927720824273,0.0,59018803,13142690,5.079908,0.9658159999999998,13127550,13592185.260960683,25.0,2.9,3.8658159999999997,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,5.284268125854992e-05,1,2883.2000000000003,36,1463,1408,132,128,128,10,0.078125,640,0.45454545454545453
s31_replication_patch130_2000Hz_t1,s31_replication_patch130_2000Hz_t1.raw,2000.0,2019.6159690564996,calibration_fft_disagreement_fallback,2019.6159690564996,0.0,45948381,10419405,4.739828999999999,0.7240000000000002,10046003,13875694.751381211,25.0,3.0,3.724,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00031689192886456905,1,1576.0,3,1462,1408,132,128,128,10,0.078125,674,0.4786931818181818
s31_replication_patch130_2000Hz_t2,s31_replication_patch130_2000Hz_t2.raw,2000.0,2019.8949986184032,calibration_fft_disagreement_fallback,2019.8949986184032,0.0,45942338,10419216,4.963991,0.7240000000000002,10403351,14369269.337016571,25.0,3.0,3.724,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00031684815321477425,1,1744.0000000000002,12,1462,1408,132,128,128,4,0.03125,706,0.5014204545454546
s31_replication_patch130_2500Hz_t1,s31_replication_patch130_2500Hz_t1.raw,2500.0,2524.6241575946087,calibration_fft_disagreement_fallback,2524.6241575946087,0.0,36822893,8526858,4.4477009999999995,0.5791999999999997,8202674,14162075.276243102,25.0,2.85,3.4292,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,7.921971252566735e-05,1,2017.5500000000002,4,1463,1408,132,128,128,3,0.0234375,694,0.4928977272727273
s31_replication_patch130_2500Hz_t2,s31_replication_patch130_2500Hz_t2.raw,2500.0,2500.0,manifest_actual,2500.0,0.0,36867523,8528506,4.715838,0.5791999999999997,8085551,13959860.15193371,25.0,3.15,3.7291999999999996,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00030399999999999996,1,2142.3,0,1448,1408,131,128,128,2,0.015625,680,0.48295454545454547
s31_replication_patch130_3000Hz_t1,s31_replication_patch130_3000Hz_t1.raw,3000.0,3003.003003003003,manifest_actual,3003.003003003003,0.0,30449881,7194174,4.839687,0.48218400000000017,7177398,14885184.908665566,25.0,3.4499999999999997,3.932184,0.0,0.0,0.482184,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,0.00011988000000000001,0,1734.3000000000006,32,1448,1408,130,128,128,2,0.015625,681,0.4836647727272727
s31_replication_patch130_3000Hz_t2,s31_replication_patch130_3000Hz_t2.raw,3000.0,3003.003003003003,manifest_actual,3003.003003003003,0.0,30442300,7188797,4.715608,0.48218400000000017,6993068,14502903.455942124,25.0,2.8,3.282184,0.0,0.0,0.482184,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,transition,transition,standard_analysis,7.992000000000001e-05,0,1784.9,12,1448,1408,131,128,128,3,0.0234375,693,0.4921875
