trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_500Hz_t1,s31_replication_500Hz_t1.raw,500.0,877.0564492652253,calibration_fft_autocorr,504.30745832750455,141872748,29519962,9.395973999999999,4.695973999999999,29499776,6281929.158892279,25.0,4.7,9.395973999999999,0.0,0.0,4.695973999999999,calibration_summary,calibration_summary,512,320,640,448,transition,0.0005552168530852144,0,4997.5941216073425,10,2368,2354,214,2,0.009345794392523364,1150,0.48853016142735767
s31_replication_500Hz_t2,s31_replication_500Hz_t2.raw,500.0,370.54037357506905,calibration_fft_autocorr,370.5403735750691,141994712,29519123,8.719949999999999,4.449999999999999,29501086,6629457.528089888,25.0,4.25,8.7,0.0,0.0,4.449999999999999,calibration_summary,calibration_summary,512,320,640,448,transition,0.0014033558475231886,0,7470.571045325675,6,1649,1639,149,24,0.1610738255033557,646,0.3941427699816962
s31_replication_1000Hz_t1,s31_replication_1000Hz_t1.raw,1000.0,727.9342557748611,calibration_fft_autocorr,409.4630188733594,109844878,22319419,7.175914,3.0999999999999996,22298028,7192912.258064517,25.0,4.05,7.1499999999999995,0.0,0.0,3.0999999999999996,calibration_summary,calibration_summary,512,320,640,448,transition,0.0011722670372546064,1,7042.713722397476,6,1269,1254,114,3,0.02631578947368421,569,0.45374800637958534
s31_replication_1000Hz_t2,s31_replication_1000Hz_t2.raw,1000.0,728.0542398318167,calibration_fft_autocorr,928.2691557855665,109770207,22292357,8.531914,2.881914000000001,22267951,7726792.333150813,25.0,5.6499999999999995,8.531914,0.0,0.0,2.881914000000001,calibration_summary,calibration_summary,512,320,640,448,transition,0.0008187280545337463,1,3457.610321615557,1,2675,2673,243,8,0.03292181069958848,1299,0.48597081930415265
s31_replication_1500Hz_t1,s31_replication_1500Hz_t1.raw,1500.0,1057.087651429115,calibration_fft_autocorr,607.8253995717412,88009379,17564112,5.899941,2.1999410000000004,17548291,7976709.829945439,25.0,3.6999999999999997,5.899941,0.0,0.0,2.1999410000000004,calibration_summary,calibration_summary,512,320,640,448,transition,0.0007238920918902257,1,4442.601796407185,9,1337,1320,120,2,0.016666666666666666,627,0.475
s31_replication_1500Hz_t2,s31_replication_1500Hz_t2.raw,1500.0,1056.87354352885,calibration_fft_autocorr,620.9132068231993,88166212,17589164,7.183974,2.5339740000000006,17570069,6933800.031097397,25.0,4.6499999999999995,7.183974,0.0,0.0,2.5339740000000006,calibration_summary,calibration_summary,512,320,640,448,transition,0.001417267325496869,1,4463.860050890586,3,1573,1562,142,2,0.014084507042253521,802,0.5134443021766966
s31_replication_2000Hz_t1,s31_replication_2000Hz_t1.raw,2000.0,1000.0,calibration_fft_autocorr,550.0,70952963,14176068,6.091975,2.191975,14161259,6460502.058645743,25.0,3.9,6.091975,0.0,0.0,2.191975,calibration_summary,calibration_summary,544,320,672,448,transition,0.0010181818181818183,0,4772.568032786885,9,1206,1188,108,1,0.009259259259259259,616,0.5185185185185185
s31_replication_2000Hz_t2,s31_replication_2000Hz_t2.raw,2000.0,1000.0,calibration_fft_autocorr,1487.5,71023443,14182770,5.899982,2.449982,14169310,5783434.327272609,25.0,3.4499999999999997,5.899982,0.0,0.0,2.449982,calibration_summary,calibration_summary,544,320,672,448,transition,0.0006184873949579832,1,1733.7446940640095,9,3644,3630,330,0,0.0,1573,0.43333333333333335
s31_replication_2500Hz_t1,s31_replication_2500Hz_t1.raw,2500.0,1250.0,calibration_fft_autocorr,1859.375,58624364,11752285,5.819977,2.1,11736430,5588776.19047619,25.0,3.6999999999999997,5.8,0.0,0.0,2.1,calibration_summary,calibration_summary,544,320,672,448,transition,0.0002581512605042017,1,1312.1218120336239,8,3905,3894,354,2,0.005649717514124294,1800,0.4622496147919877
s31_replication_2500Hz_t2,s31_replication_2500Hz_t2.raw,2500.0,1250.0,calibration_fft_autocorr,1859.375,58706953,11765961,5.699974,2.199974,11751152,5341495.854041911,25.0,3.5,5.699974,0.0,0.0,2.199974,calibration_summary,calibration_summary,544,320,672,448,transition,0.0004947899159663865,0,1328.5398853504412,7,4090,4081,371,2,0.005390835579514825,1883,0.4614065180102916
s31_replication_3000Hz_t1,s31_replication_3000Hz_t1.raw,3000.0,1538.4615384615386,calibration_fft_autocorr,1903.8461538461538,48996415,9964165,5.5438659999999995,1.9938659999999997,9948966,4989786.675734478,25.0,3.55,5.5438659999999995,0.0,0.0,1.9938659999999997,calibration_summary,calibration_summary,544,320,672,448,transition,2.1010101010101007e-05,1,1213.4366868153973,9,3796,3784,344,0,0.0,1753,0.4632663847780127
s31_replication_3000Hz_t2,s31_replication_3000Hz_t2.raw,3000.0,1538.4615384615386,calibration_fft_autocorr,2230.7692307692305,49046302,9975209,5.655968,2.1999999999999997,9960984,4527720.000000001,25.0,3.4499999999999997,5.6499999999999995,0.0,0.0,2.1999999999999997,calibration_summary,calibration_summary,544,320,672,448,transition,0.00012551724137931038,0,1147.731379108725,8,4908,4895,445,0,0.0,2260,0.4616956077630235
