trial,raw_file,frequency_hz,message_index,decoded_bits,truth_bits,correct
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,0,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,1,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,2,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,3,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,4,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,5,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,6,10000010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,7,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,8,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,9,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,10,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,11,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,12,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,13,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,14,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,15,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,16,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,17,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,18,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,19,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,20,10010010010,10110010110,0
s31_synced_replication_50cm_100Hz_t1,s31_synced_replication_50cm_100Hz_t1.raw,100.0,21,10010010010,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,0,10101011110,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,1,10101010110,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,2,10101010110,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,3,10101010111,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,4,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,5,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,6,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,7,00101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,8,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,9,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,10,10001010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,11,10001010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,12,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,13,10101010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,14,00100010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,15,01001010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,16,00010010101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,17,00000100101,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,18,01000000001,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,19,01010000010,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,20,01010100000,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,21,11010101001,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,22,11010101000,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,23,11010101000,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,24,11010101010,10110010110,0
s31_synced_replication_50cm_200Hz_t1,s31_synced_replication_50cm_200Hz_t1.raw,200.0,25,11010101010,10110010110,0
