trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,decode_rule,reliability_label,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber,sync_preamble_bits_scored,sync_preamble_errors,sync_preamble_ber
100_percent_T1,100_percent_T1.raw,300.0,300.03000300030004,manifest_actual,303.03030303030306,0.01000000000000006,160806994,70626856,14.231986,10.0,70597726,7059772.6,10.0,3.3,13.3,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0013199999999999998,1,10427.511717261554,36,3030,748,70,68,68,21,0.3088235294117647,231,0.3088235294117647,2176,556,0.2555147058823529
100_percent_T2,100_percent_T2.raw,300.0,300.03000300030004,manifest_actual,303.03030303030306,0.01000000000000006,160812967,70650826,14.03577,10.0,70623739,7062373.9,10.0,3.15,13.15,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0030359999999999996,1,10682.847840047642,133,3030,748,70,68,68,33,0.4852941176470588,175,0.2339572192513369,2176,555,0.25505514705882354
100_percent_T3,100_percent_T3.raw,300.0,300.03000300030004,manifest_actual,303.03030303030306,0.01000000000000006,160755818,70624619,13.723925,10.0,70599246,7059924.6,10.0,3.15,13.15,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0027719999999999997,0,10604.90275470744,131,3030,748,70,68,68,19,0.27941176470588236,214,0.28609625668449196,2176,535,0.24586397058823528
25_percent_T1,25_percent_T1.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,128925539,56121792,14.095982,10.0,56096322,5609632.2,10.0,3.1999999999999997,13.2,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,384,672,512,synced_transition,synced_transition,standard_analysis,0.00279972,1,7124.000968201023,48,3000,748,69,68,68,6,0.08823529411764706,294,0.393048128342246,2176,671,0.3083639705882353
25_percent_T2,25_percent_T2.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,128932902,56119848,13.851961,10.0,56086720,5608672.0,10.0,3.1999999999999997,13.2,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,384,672,512,synced_transition,synced_transition,standard_analysis,0.00053328,1,7417.196,39,3001,748,69,68,68,7,0.10294117647058823,301,0.40240641711229946,2176,652,0.29963235294117646
25_percent_T3,25_percent_T3.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,128883378,56094038,13.931902,10.0,56069140,5606914.0,10.0,3.0999999999999996,13.1,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,384,672,512,synced_transition,synced_transition,standard_analysis,0.00053328,0,7469.206362091716,46,3001,748,69,68,68,7,0.10294117647058823,287,0.3836898395721925,2176,716,0.3290441176470588
50_percent_T1,50_percent_T1.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,151226824,66185057,14.251809,10.0,66156043,6615604.3,10.0,3.3499999999999996,13.35,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.00039996,0,9141.153333333334,35,3001,748,69,68,68,4,0.058823529411764705,321,0.42914438502673796,2176,645,0.29641544117647056
50_percent_T2,50_percent_T2.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,151292255,66196830,14.103923,10.0,66164158,6616415.8,10.0,3.1999999999999997,13.2,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.00053328,1,8889.491666666667,39,3001,748,69,68,68,6,0.08823529411764706,307,0.410427807486631,2176,645,0.29641544117647056
50_percent_T3,50_percent_T3.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,151344883,66225581,14.435969,10.0,61088234,6108823.4,10.0,2.6999999999999997,12.7,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.00053328,1,8431.775333333333,33,3001,748,69,68,68,6,0.08823529411764706,294,0.393048128342246,2176,677,0.31112132352941174
75_percent_T1,75_percent_T1.raw,300.0,300.03000300030004,manifest_actual,300.03000300030004,0.0,156594539,68397946,13.891834,10.0,68370176,6837017.6,10.0,3.25,13.25,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.00026664,0,9212.621333333334,44,3001,748,69,68,68,5,0.07352941176470588,321,0.42914438502673796,2176,650,0.29871323529411764
