trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,decode_rule,reliability_label,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber,sync_preamble_bits_scored,sync_preamble_errors,sync_preamble_ber
100_percent_T1,100_percent_T1.raw,300.0,303.1339738098822,calibration_autocorr_preferred,303.13397380988226,1.8751912940137398e-16,160806994,70626856,14.231986,10.0,70597726,7059772.6,10.0,3.3,13.3,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.001451503420978991,0,15440.219801980198,36,3031,748,70,68,68,68,1.0,0,0.0,2176,0,0.0
100_percent_T2,100_percent_T2.raw,300.0,303.1,calibration_fft,303.1,0.0,160812967,70650826,14.03577,10.0,70623739,7062373.9,10.0,3.15,13.15,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0,0,15379.94171085974,48,3032,748,70,68,68,68,1.0,0,0.0,2176,0,0.0
100_percent_T3,100_percent_T3.raw,300.0,303.1399775161441,calibration_autocorr_preferred,303.1399775161441,0.0,160755818,70624619,13.723925,10.0,70599246,7059924.6,10.0,3.15,13.15,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0030349015908038863,0,15660.744417610771,45,3031,748,70,68,68,68,1.0,0,0.0,2176,0,0.0
25_percent_T1,25_percent_T1.raw,300.0,299.66356428454804,calibration_autocorr_preferred,299.6635642845481,1.8969079206049846e-16,128925539,56121792,14.095982,10.0,56096322,5609632.2,10.0,3.1999999999999997,13.2,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,384,672,512,synced_transition,synced_transition,standard_analysis,0.0021357284510981874,1,8176.9570979966165,46,2996,748,69,68,68,32,0.47058823529411764,183,0.2446524064171123,2176,583,0.2679227941176471
25_percent_T2,25_percent_T2.raw,300.0,299.69518670398776,calibration_autocorr_preferred,299.6951867039878,1.8967077678478995e-16,128932902,56119848,13.851961,10.0,56086720,5608672.0,10.0,3.1999999999999997,13.2,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,384,672,512,synced_transition,synced_transition,standard_analysis,0.0024024409865185847,0,8780.610146862484,79,2997,748,69,68,68,34,0.5,175,0.2339572192513369,2176,534,0.24540441176470587
25_percent_T3,25_percent_T3.raw,300.0,299.70703209445486,calibration_autocorr_preferred,299.70703209445486,0.0,128883378,56094038,13.931902,10.0,56069140,5606914.0,10.0,3.0999999999999996,13.1,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,384,672,512,synced_transition,synced_transition,standard_analysis,0.001201173017143433,0,8582.257343124165,87,2997,748,69,68,68,32,0.47058823529411764,190,0.2540106951871658,2176,552,0.2536764705882353
50_percent_T1,50_percent_T1.raw,300.0,299.60264828133575,calibration_autocorr_preferred,299.60264828133575,0.0,151226824,66185057,14.251809,10.0,66156043,6615604.3,10.0,3.3499999999999996,13.35,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0006675508415806596,0,9388.819026632727,33,2996,748,69,68,68,19,0.27941176470588236,245,0.32754010695187163,2176,634,0.2913602941176471
50_percent_T2,50_percent_T2.raw,300.0,299.7297124483284,calibration_autocorr_preferred,299.7297124483284,0.0,151292255,66196830,14.103923,10.0,66164158,6616415.8,10.0,3.1999999999999997,13.2,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.001601442833542067,1,8499.986315086782,37,2997,748,69,68,68,24,0.35294117647058826,202,0.2700534759358289,2176,694,0.31893382352941174
50_percent_T3,50_percent_T3.raw,300.0,299.7326260369387,calibration_autocorr_preferred,299.73262603693877,1.896470851785174e-16,151344883,66225581,14.435969,10.0,61088234,6108823.4,10.0,2.6999999999999997,12.7,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0030694022608223504,1,8357.69826435247,74,2997,748,68,68,68,25,0.36764705882352944,219,0.2927807486631016,2176,697,0.3203125
75_percent_T1,75_percent_T1.raw,300.0,299.6505749045176,calibration_autocorr_preferred,299.6505749045176,0.0,156594539,68397946,13.891834,10.0,68370176,6837017.6,10.0,3.25,13.25,0.0,0.0,10.0,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,synced_transition,synced_transition,standard_analysis,0.0032037315473394303,0,10138.99371774256,84,2996,748,69,68,68,20,0.29411764705882354,227,0.303475935828877,2176,594,0.27297794117647056
