video,frame_name,time_s,pattern_correlation,symbol_px,phase_symbols,scan_direction,symbols_scored,symbol_errors,symbol_match_rate,saturation_pct,bright_pct,packet_positions,expected_bits,recovered_bits
7-15pixeltest1.mp4,frame_0001.png,0.0,0.433032363653183,22.25,13.5,forward,42,13,0.6904761904761905,10.547419123869036,39.1294669009959,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07,101111000010100101001111000101101010101010,000111000111000111000111000111110000111000
7-15pixeltest1.mp4,frame_0002.png,0.5,0.45946934819221497,22.0,15.5,reverse,43,14,0.6744186046511628,12.086023555906685,53.166970877489305,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10,1111000010100101001111000101101010101010101,0111000111000111000111000111111001111000000
7-15pixeltest1.mp4,frame_0003.png,1.0,0.48104503750801086,18.75,14.5,reverse,50,14,0.72,6.903321368407851,46.13837961691902,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16,01111000010100101001111000101101010101010101010101,00111000011100000001111000111100000001111111111100
7-15pixeltest1.mp4,frame_0004.png,1.5,0.45351818203926086,22.25,15.0,forward,42,12,0.7142857142857143,11.374536394779309,45.52985476062399,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09,111100001010010100111100010110101010101010,011100011100011100011100011111100011100000
7-15pixeltest1.mp4,frame_0005.png,2.0,0.44836241006851196,22.25,14.5,reverse,42,14,0.6666666666666666,11.097821189315598,53.115837060262685,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08,011110000101001010011110001011010101010101,001110001110001110001110001111100011110000
7-15pixeltest1.mp4,frame_0006.png,2.5,0.5026676654815674,18.5,12.5,reverse,51,14,0.7254901960784313,7.377283046302202,43.54800655679239,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15,010111100001010010100111100010110101010101010101010,000111100011110000000111100011110000000111111111110
7-15pixeltest1.mp4,frame_0007.png,3.0,0.44820764660835266,22.0,16.0,forward,42,12,0.7142857142857143,10.912192102321564,46.41708268944438,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10,111000010100101001111000101101010101010101,111000111000111000111000111111000111000000
7-15pixeltest1.mp4,frame_0008.png,3.5,0.43126094341278076,22.5,13.5,reverse,42,14,0.6666666666666666,9.993485570234917,51.25044041452522,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07,101111000010100101001111000101101010101010,000011000111000111000111000111100001111000
7-15pixeltest1.mp4,frame_0009.png,4.0,0.500860869884491,18.5,46.5,forward,51,15,0.7058823529411765,7.307969692950461,43.20426310321197,47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01,010101010101010101111000010100101001111000101101010,111111111100000001111000111100000001111000111100000
7-15pixeltest1.mp4,frame_0010.png,4.5,0.4262784421443939,22.25,17.5,forward,42,12,0.7142857142857143,12.918034669611284,47.34010564306549,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11,110000101001010011110001011010101010101010,110001110001110001110001111110001110000000
7-15pixeltest1.mp4,frame_0011.png,5.0,0.42582476139068604,22.0,11.5,reverse,43,13,0.6976744186046512,9.655428507370663,52.76750182164677,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06,1010111100001010010100111100010110101010101,1100011100011100011100011100011110000011100
