video,frame_name,time_s,pattern_correlation,symbol_px,phase_symbols,scan_direction,symbols_scored,symbol_errors,symbol_match_rate,saturation_pct,bright_pct,packet_positions,expected_bits,recovered_bits
7-15pixeltest3.mp4,frame_0001.png,0.0,0.39943695068359375,16.5,32.5,reverse,57,21,0.631578947368421,11.531260650938684,46.24223210992469,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,011110001011010101010101010101011110000101001010011110001,000000011111111111110000000000011110001111111000011110000
7-15pixeltest3.mp4,frame_0002.png,0.5,0.37040963768959045,19.25,47.5,reverse,49,14,0.7142857142857143,9.891076864535767,38.778402913676885,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00,1010101010101010111100001010010100111100010110101,0000111000111000111100011100011100011100011100001
7-15pixeltest3.mp4,frame_0003.png,1.0,0.42942893505096436,20.0,19.5,reverse,47,16,0.6595744680851063,13.71529989384289,42.51671974522293,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18,00001010010100111100010110101010101010101010111,00011100011100011100011111111111100000000000011
7-15pixeltest3.mp4,frame_0004.png,1.5,0.47732555866241455,16.75,6.0,reverse,56,18,0.6785714285714286,10.247922946842145,46.42070435997353,07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14,01010101011110000101001010011110001011010101010101010101,11100000011110001111000000011110001111000000011111111100
7-15pixeltest3.mp4,frame_0005.png,2.0,0.4009469449520111,17.25,38.5,reverse,55,17,0.6909090909090909,8.472361584944368,49.49450353423863,39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,0010110101010101010101010111100001010010100111100010110,0011110000111111000000000011100001111111000111100011110
7-15pixeltest3.mp4,frame_0006.png,2.5,0.3828895688056946,19.0,1.5,forward,50,15,0.7,9.26064693393281,45.25116044294575,02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03,10101010101010111100001010010100111100010110101010,00111000111000111000011100011100011100011100001110
7-15pixeltest3.mp4,frame_0007.png,3.0,0.453305184841156,19.75,22.5,reverse,48,17,0.6458333333333334,18.485260486390004,43.20999274877287,23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22,010100101001111000101101010101010101010101111000,111000111000111000111110111111000000000000111000
7-15pixeltest3.mp4,frame_0008.png,3.5,0.48638999462127686,16.75,42.0,forward,56,17,0.6964285714285714,8.510909585822553,47.093164854371715,43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02,11010101010101010101011110000101001010011110001011010101,11111100111111000000011110001111000000011110001111000000
7-15pixeltest3.mp4,frame_0009.png,4.0,0.40898314118385315,16.5,40.5,reverse,57,22,0.6140350877192983,9.230789039967037,47.9211732591677,41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01,101101010101010101010101111000010100101001111000101101010,110000111111100000000001111000111111100001111000111100001
7-15pixeltest3.mp4,frame_0010.png,4.5,0.3745361864566803,19.0,6.0,reverse,49,15,0.6938775510204082,9.399630541871922,44.07782994663383,07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07,0101010101111000010100101001111000101101010101010,0001110001110000111000111000111000111000011100011
