video,frame_name,time_s,pattern_correlation,symbol_px,phase_symbols,scan_direction,symbols_scored,symbol_errors,symbol_match_rate,saturation_pct,bright_pct,packet_positions,expected_bits,recovered_bits
7-15pixeltest6.mp4,frame_0001.png,0.0,0.39074257016181946,40.0,22.5,reverse,23,7,0.6956521739130435,11.301605587155303,43.43228454172367,23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,01010010100111100010110,10010110100111110000011
7-15pixeltest6.mp4,frame_0002.png,0.5,0.3854467272758484,36.75,23.5,reverse,25,6,0.76,11.890460105904623,47.19078599675615,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00,1010010100111100010110101,0010010001111110000110111
7-15pixeltest6.mp4,frame_0003.png,1.0,0.41024667024612427,40.0,17.0,reverse,23,6,0.7391304347826086,8.279466980784804,44.96112788043878,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,11000010100101001111000,10010010100101101001001
7-15pixeltest6.mp4,frame_0004.png,1.5,0.4290984272956848,40.0,27.5,forward,23,6,0.7391304347826086,8.683730285592498,33.39360880221654,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02,01010011110001011010101,11110011010001011001001
7-15pixeltest6.mp4,frame_0005.png,2.0,0.42367246747016907,39.75,23.5,forward,23,7,0.6956521739130435,10.086209446071038,44.101233253482384,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46,10100101001111000101101,00100101101001011101100
7-15pixeltest6.mp4,frame_0006.png,2.5,0.3839567303657532,37.0,21.0,forward,24,6,0.75,9.740152841076473,41.2982105001704,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,001010010100111100010110,011011000001111110010110
7-15pixeltest6.mp4,frame_0007.png,3.0,0.40083369612693787,36.25,19.0,forward,25,9,0.64,7.515999374027064,42.98786765614318,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44,0000101001010011110001011,0110111011000011101100011
7-15pixeltest6.mp4,frame_0008.png,3.5,0.41094744205474854,40.0,21.0,reverse,23,6,0.7391304347826086,10.418409480909482,46.2544910982411,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44,00101001010011110001011,00101001011010010010010
7-15pixeltest6.mp4,frame_0009.png,4.0,0.4093066453933716,40.0,30.0,forward,23,7,0.6956521739130435,10.491482402451442,44.84853570258683,31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05,10011110001011010101010,00111110011011001101100
7-15pixeltest6.mp4,frame_0010.png,4.5,0.4087793231010437,39.75,19.5,forward,23,6,0.7391304347826086,9.400330911346812,42.61253071942097,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,00001010010100111100010,01011010010110100100110
7-15pixeltest6.mp4,frame_0011.png,5.0,0.40898948907852173,40.0,29.5,reverse,23,6,0.7391304347826086,8.802939497716896,38.59810216894977,30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04,01001111000101101010101,10011111000001101000100
