video,frame_name,time_s,pattern_correlation,symbol_px,phase_symbols,scan_direction,symbols_scored,symbol_errors,symbol_match_rate,saturation_pct,bright_pct,packet_positions,expected_bits,recovered_bits
7-10test17a.mp4,frame_0001.png,0.0,0.4218505620956421,25.5,9.0,forward,36,10,0.7222222222222222,24.346274697768546,48.74694725309839,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,101010111100001010010100111100010110,111000111000011100011100011100011100
7-10test17a.mp4,frame_0002.png,0.5,0.4195800721645355,26.0,12.0,reverse,35,10,0.7142857142857143,16.457051845342708,51.53058484670963,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,01011110000101001010011110001011010,00001110001110001110001110001110000
7-10test17a.mp4,frame_0003.png,1.0,0.4575103223323822,27.0,15.0,forward,34,10,0.7058823529411765,29.226941282307255,54.25695997044314,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01,1111000010100101001111000101101010,0111000111000111000111000111110000
7-10test17a.mp4,frame_0004.png,1.5,0.4982406497001648,22.5,9.0,reverse,41,11,0.7317073170731707,23.22845671338963,58.514795604898055,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02,10101011110000101001010011110001011010101,00000001110000111111000011110001111000111
7-10test17a.mp4,frame_0005.png,2.0,0.4620054364204407,22.0,46.5,reverse,43,16,0.627906976744186,16.8861062292521,50.83992384299941,47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,0101010101010101011110000101001010011110001,0011111000011000011110001111111100011110000
7-10test17a.mp4,frame_0006.png,2.5,0.4382951557636261,30.5,15.0,forward,30,8,0.7333333333333333,20.500197913203184,60.066182175145265,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,111100001010010100111100010110,111110001110000000111110001100
7-10test17a.mp4,frame_0007.png,3.0,0.4320959448814392,30.0,7.0,reverse,31,12,0.6129032258064516,20.51623440024143,51.524534828577,08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,1010101011110000101001010011110,1110000011111111111000000001100
7-10test17a.mp4,frame_0008.png,3.5,0.44281113147735596,22.0,11.5,reverse,43,16,0.627906976744186,25.11775654964717,62.68337522693961,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06,1010111100001010010100111100010110101010101,0000111100011110000000111111111111110000000
7-10test17a.mp4,frame_0009.png,4.0,0.508056640625,22.0,46.0,forward,42,11,0.7380952380952381,23.889255028314782,51.54956307361843,47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,010101010101010101111000010100101001111000,111101111100000001111000111100000001111000
7-10test17a.mp4,frame_0010.png,4.5,0.5796072483062744,22.0,8.0,forward,42,11,0.7380952380952381,17.511303738470744,41.187751073254354,09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02,010101011110000101001010011110001011010101,001000011110001111000000011110001111000111
7-10test17a.mp4,frame_0011.png,5.0,0.5256732702255249,22.0,47.5,reverse,43,13,0.6976744186046512,11.011155047842218,34.972661589533296,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,1010101010101010111100001010010100111100010,1100001111110000111100011110000000111100011
7-10test27a.mp4,frame_0001.png,0.0,0.4894851744174957,29.0,11.0,reverse,32,10,0.6875,29.15268048764913,60.277030460023816,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,10101111000010100101001111000101,00001111110111100000000111000111
7-10test27a.mp4,frame_0002.png,0.5,0.40792185068130493,31.5,19.0,forward,29,8,0.7241379310344828,26.924184729545008,51.59044864284319,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00,00001010010100111100010110101,00000000111111111100000110001
7-10test27a.mp4,frame_0003.png,1.0,0.45481565594673157,22.0,7.5,reverse,43,14,0.6744186046511628,31.050262863672224,55.88878315906831,08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02,1010101011110000101001010011110001011010101,1000000011110001111000000011111011111111000
7-10test27a.mp4,frame_0004.png,1.5,0.5711482763290405,22.0,15.5,reverse,43,10,0.7674418604651163,28.906890743995312,50.61932483889865,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10,1111000010100101001111000101101010101010101,1111000111100000001111000111100000001111101
7-10test27a.mp4,frame_0005.png,2.0,0.5672938227653503,22.0,5.5,reverse,43,12,0.7209302325581395,30.556667967551014,47.98545730336028,06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00,1010101010111100001010010100111100010110101,1111110000111100011110000000111100011110000
7-10test27a.mp4,frame_0006.png,2.5,0.5051699280738831,22.5,14.0,reverse,41,12,0.7073170731707317,20.591222203245717,40.79630313191915,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07,01111000010100101001111000101101010101010,11111000001111000001111000111100000001110
7-10test27a.mp4,frame_0007.png,3.0,0.5358884930610657,22.0,3.5,reverse,43,13,0.6976744186046512,26.734680221400726,52.48286719996768,04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46,1010101010101111000010100101001111000101101,0111101111111111000000010000001111000111100
7-10test27a.mp4,frame_0008.png,3.5,0.4875794053077698,22.0,11.5,reverse,43,14,0.6744186046511628,29.622022066002735,51.68540080062488,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06,1010111100001010010100111100010110101010101,1000111100011111111101111100000001100000111
7-10test27a.mp4,frame_0009.png,4.0,0.41318589448928833,29.5,10.5,forward,32,9,0.71875,41.57072752434562,68.66879487418954,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,01010111100001010010100111100010,00000111100011110011100011000111
7-10test27a.mp4,frame_0010.png,4.5,0.46745505928993225,26.5,14.5,reverse,35,9,0.7428571428571429,51.687100201300815,64.30772257923145,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01,01111000010100101001111000101101010,00111000111000111000111000111111000
7-10test27a.mp4,frame_0011.png,5.0,0.43235576152801514,27.5,7.0,reverse,33,9,0.7272727272727273,29.579977055262646,53.295193809802775,08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,101010101111000010100101001111000,100011100011000111000111000111000
7-10test27a.mp4,frame_0012.png,5.5,0.42868366837501526,25.5,8.0,forward,36,9,0.75,30.750024172311612,53.833475839379574,09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44,010101011110000101001010011110001011,011100011100001100001110001110001110
