video,frame_name,time_s,pattern_correlation,symbol_px,phase_symbols,scan_direction,symbols_scored,symbol_errors,symbol_match_rate,saturation_pct,bright_pct,packet_positions,expected_bits,recovered_bits
7-14test3pixel.mp4,frame_0001.png,0.0,0.7566317319869995,26.0,22.0,reverse,35,1,0.9714285714285714,11.05571058967242,48.15933639159185,23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09,01010010100111100010110101010101010,01010010100111100010110101010101000
7-14test3pixel.mp4,frame_0002.png,0.5,0.8014553785324097,26.0,13.5,reverse,36,2,0.9444444444444444,16.911858035539932,46.77406756492872,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01,101111000010100101001111000101101010,101111000010100101001111000101100000
7-14test3pixel.mp4,frame_0003.png,1.0,0.8386757969856262,26.0,5.0,reverse,35,0,1.0,11.59124194493263,48.76025190392502,06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,10101010101111000010100101001111000,10101010101111000010100101001111000
7-14test3pixel.mp4,frame_0004.png,1.5,0.809731125831604,26.0,44.5,reverse,36,0,1.0,14.094415153290374,47.77478763913298,45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,010101010101010101011110000101001010,010101010101010101011110000101001010
7-14test3pixel.mp4,frame_0005.png,2.0,0.8467645049095154,26.0,36.0,reverse,35,1,0.9714285714285714,14.325144014840852,52.31278070689318,37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23,10001011010101010101010101011110000,10001011010101010101010101001110000
7-14test3pixel.mp4,frame_0006.png,2.5,0.7865328192710876,26.0,27.5,reverse,36,2,0.9444444444444444,14.761635165613354,50.82995701300306,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15,010100111100010110101010101010101010,010100111100010110101010101010100000
7-14test3pixel.mp4,frame_0007.png,3.0,0.814343273639679,26.0,19.0,reverse,35,0,1.0,12.384483011130639,48.241066198008205,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06,00001010010100111100010110101010101,00001010010100111100010110101010101
7-14test3pixel.mp4,frame_0008.png,3.5,0.836125373840332,26.0,10.5,reverse,36,1,0.9722222222222222,17.302894942394065,50.63213971880492,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46,010101111000010100101001111000101101,010101111000010100101001111000101100
7-14test3pixel.mp4,frame_0009.png,4.0,0.8458141684532166,26.0,2.0,reverse,35,1,0.9714285714285714,14.42870044913103,55.01702548330404,03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37,01010101010101111000010100101001111,01010101010101111000010100101000111
7-14test3pixel.mp4,frame_0010.png,4.5,0.833823561668396,26.0,41.5,reverse,36,0,1.0,15.156402558094124,53.758543253270844,42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,011010101010101010101011110000101001,011010101010101010101011110000101001
7-14test3pixel.mp4,frame_0011.png,5.0,0.8517315983772278,26.0,33.0,reverse,35,3,0.9142857142857143,17.492887761004,59.92895811426894,34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20,11110001011010101010101010101011110,11110001011010101010101010100000110
7-14test4pixel.mp4,frame_0001.png,0.0,0.9064892530441284,26.5,28.0,reverse,35,0,1.0,12.191119117972036,45.95374997168828,29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15,10100111100010110101010101010101010,10100111100010110101010101010101010
7-14test4pixel.mp4,frame_0002.png,0.5,0.9088565707206726,26.5,19.5,reverse,35,0,1.0,12.667996973247412,43.12823423159539,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06,00001010010100111100010110101010101,00001010010100111100010110101010101
7-14test4pixel.mp4,frame_0003.png,1.0,0.8889259099960327,26.5,11.0,reverse,35,0,1.0,12.799441027143136,44.14854276508494,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46,10101111000010100101001111000101101,10101111000010100101001111000101101
7-14test4pixel.mp4,frame_0004.png,1.5,0.8948494791984558,26.5,2.5,reverse,35,0,1.0,13.441039347783637,47.347685998828354,03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37,01010101010101111000010100101001111,01010101010101111000010100101001111
7-14test4pixel.mp4,frame_0005.png,2.0,0.9069982171058655,26.5,42.0,reverse,35,1,0.9714285714285714,14.723686779925796,47.69332161687171,43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,11010101010101010101011110000101001,01010101010101010101011110000101001
7-14test4pixel.mp4,frame_0006.png,2.5,0.8959246277809143,26.5,33.5,reverse,35,1,0.9714285714285714,14.283726783095105,57.46674876924123,34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20,11110001011010101010101010101011110,01110001011010101010101010101011110
7-14test4pixel.mp4,frame_0007.png,3.0,0.9056846499443054,26.5,25.0,reverse,35,0,1.0,11.421231204842803,49.29090997851982,26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12,10010100111100010110101010101010101,10010100111100010110101010101010101
7-14test4pixel.mp4,frame_0008.png,3.5,0.8821493983268738,26.5,16.5,reverse,35,0,1.0,11.238039445420817,50.45498925991018,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03,11100001010010100111100010110101010,11100001010010100111100010110101010
7-14test4pixel.mp4,frame_0009.png,4.0,0.8909886479377747,26.5,8.0,reverse,35,0,1.0,11.462788029681704,50.570201132591286,09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,01010101111000010100101001111000101,01010101111000010100101001111000101
7-14test4pixel.mp4,frame_0010.png,4.5,0.884408175945282,26.5,47.5,reverse,35,0,1.0,12.556263425112283,49.21280023432924,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34,10101010101010101111000010100101001,10101010101010101111000010100101001
7-14test4pixel.mp4,frame_0011.png,5.0,0.879668116569519,26.5,39.0,reverse,35,0,1.0,12.604907756360253,51.9791108646686,40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,01011010101010101010101011110000101,01011010101010101010101011110000101
