video,frame_name,time_s,pattern_correlation,symbol_px,phase_symbols,scan_direction,symbols_scored,symbol_errors,symbol_match_rate,saturation_pct,bright_pct,packet_positions,expected_bits,recovered_bits
7-9test5.mp4,frame_0001.png,0.0,0.8724421262741089,26.5,36.0,reverse,35,1,0.9714285714285714,6.941149189611403,41.353068248388986,37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23,10001011010101010101010101011110000,10001011010101010101010101001110000
7-9test5.mp4,frame_0002.png,0.5,0.8860114216804504,26.5,27.5,reverse,35,1,0.9714285714285714,7.4732159701329515,38.46319492021884,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14,01010011110001011010101010101010101,01010001110001011010101010101010101
7-9test5.mp4,frame_0003.png,1.0,0.8803638219833374,26.5,19.0,reverse,35,0,1.0,7.689130112625964,34.85915579924916,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06,00001010010100111100010110101010101,00001010010100111100010110101010101
7-9test5.mp4,frame_0004.png,1.5,0.8489084839820862,26.5,10.5,reverse,35,0,1.0,7.057462686567165,34.70988805970149,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,01010111100001010010100111100010110,01010111100001010010100111100010110
7-9test5.mp4,frame_0005.png,2.0,0.8739061951637268,26.5,2.0,reverse,35,0,1.0,7.048987844082781,33.92631103074141,03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37,01010101010101111000010100101001111,01010101010101111000010100101001111
7-9test5.mp4,frame_0006.png,2.5,0.8619012236595154,26.5,41.5,reverse,35,0,1.0,7.01245704467354,35.52102284212654,42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,01101010101010101010101111000010100,01101010101010101010101111000010100
7-9test5.mp4,frame_0007.png,3.0,0.8617632389068604,26.5,33.0,reverse,35,2,0.9428571428571428,6.748250238954151,38.22939598557025,34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20,11110001011010101010101010101011110,01110001011010101010101010101001110
7-9test5.mp4,frame_0008.png,3.5,0.8641628623008728,26.5,24.5,reverse,35,0,1.0,6.485812883435582,35.81435327198364,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11,01001010011110001011010101010101010,01001010011110001011010101010101010
7-9test5.mp4,frame_0009.png,4.0,0.8412348031997681,26.5,16.0,reverse,35,0,1.0,7.367813010620915,34.68309589460784,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03,11100001010010100111100010110101010,11100001010010100111100010110101010
7-9test5.mp4,frame_0010.png,4.5,0.8236467242240906,26.5,7.5,reverse,35,0,1.0,6.499370594159114,33.707389224572005,08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,10101010111100001010010100111100010,10101010111100001010010100111100010
7-9test5.mp4,frame_0011.png,5.0,0.8519397377967834,26.5,47.0,reverse,35,0,1.0,6.136558056538055,33.14110247491868,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34,10101010101010101111000010100101001,10101010101010101111000010100101001
7-9test5.mp4,frame_0012.png,5.5,0.8300933241844177,26.5,38.5,reverse,35,0,1.0,7.355849567442943,38.23450092010914,39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,00101101010101010101010101111000010,00101101010101010101010101111000010
7-9test5.mp4,frame_0013.png,6.0,0.8369490504264832,26.5,30.0,reverse,35,2,0.9428571428571428,6.826957915791877,38.65118599145312,31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17,10011110001011010101010101010101011,10001110001011010101010101010100011
7-9test5.mp4,frame_0014.png,6.5,0.8335214257240295,26.5,21.5,reverse,35,0,1.0,7.693171077504727,35.331731779038016,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00 01 02 03 04 05 06 07 08,00101001010011110001011010101010101,00101001010011110001011010101010101
7-9test5.mp4,frame_0015.png,7.0,0.8225957751274109,26.5,13.0,reverse,35,0,1.0,6.525261938744185,34.12266572739291,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 00,10111100001010010100111100010110101,10111100001010010100111100010110101
