bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
0,guard_or_pad,-1,0,0,0.04962879791855812,15,1,6-29T2.mp4
1,guard_or_pad,-1,0,0,0.3445418179035187,225,1,6-29T2.mp4
11,guard_or_pad,-1,0,0,0.33145105838775635,240,1,6-29T2.mp4
21,preamble,0,0,0,1.0040886402130127,240,1,6-29T2.mp4
31,preamble,0,0,0,1.0040886402130127,240,1,6-29T2.mp4
41,preamble,0,0,0,0.9853978157043457,240,1,6-29T2.mp4
51,preamble,0,0,0,0.9853978157043457,240,1,6-29T2.mp4
61,payload,0,1,0,0.8631683588027954,240,0,6-29T2.mp4
71,preamble,1,1,0,0.8631683588027954,240,0,6-29T2.mp4
81,preamble,1,1,0,0.45839184522628784,240,0,6-29T2.mp4
91,preamble,1,1,0,0.45839184522628784,240,0,6-29T2.mp4
101,payload,1,1,0,0.2895444631576538,240,0,6-29T2.mp4
111,preamble,2,0,0,0.2895444631576538,240,1,6-29T2.mp4
121,preamble,2,0,1,-0.12593978643417358,240,0,6-29T2.mp4
131,preamble,2,0,1,-0.12593978643417358,240,0,6-29T2.mp4
141,payload,2,1,1,-0.12858998775482178,240,1,6-29T2.mp4
151,preamble,3,1,1,-0.12858998775482178,240,1,6-29T2.mp4
161,preamble,3,1,0,0.8510297536849976,240,0,6-29T2.mp4
171,preamble,3,1,0,0.8510297536849976,240,0,6-29T2.mp4
181,payload,3,1,0,0.6502650380134583,240,0,6-29T2.mp4
191,payload,3,0,0,0.6502650380134583,240,1,6-29T2.mp4
201,preamble,4,0,0,0.7839347124099731,240,1,6-29T2.mp4
211,preamble,4,0,0,0.7839347124099731,240,1,6-29T2.mp4
221,preamble,4,0,0,0.9263964891433716,240,1,6-29T2.mp4
231,payload,4,0,0,0.9263964891433716,240,1,6-29T2.mp4
241,preamble,5,1,1,-0.14028781652450562,240,1,6-29T2.mp4
251,preamble,5,1,1,-0.14028781652450562,240,1,6-29T2.mp4
261,preamble,5,1,0,0.23498883843421936,240,0,6-29T2.mp4
271,payload,5,0,0,0.23498883843421936,240,1,6-29T2.mp4
281,preamble,6,0,0,0.5299092531204224,240,1,6-29T2.mp4
291,preamble,6,0,0,0.5299092531204224,240,1,6-29T2.mp4
301,preamble,6,0,0,0.19438008964061737,240,1,6-29T2.mp4
311,payload,6,0,0,0.19438008964061737,240,1,6-29T2.mp4
321,preamble,7,1,0,0.9781169295310974,240,0,6-29T2.mp4
331,preamble,7,1,0,0.9781169295310974,240,0,6-29T2.mp4
341,preamble,7,1,0,0.9917265772819519,240,0,6-29T2.mp4
351,preamble,7,1,0,0.9917265772819519,240,0,6-29T2.mp4
361,payload,7,1,0,1.0054547786712646,240,0,6-29T2.mp4
371,preamble,8,0,0,1.0054547786712646,240,1,6-29T2.mp4
381,preamble,8,0,0,0.5903698205947876,240,1,6-29T2.mp4
391,preamble,8,0,0,0.5903698205947876,240,1,6-29T2.mp4
401,payload,8,0,0,0.7488522529602051,240,1,6-29T2.mp4
411,preamble,9,1,0,0.7488522529602051,240,0,6-29T2.mp4
421,preamble,9,1,1,-0.14731501042842865,225,1,6-29T2.mp4
422,preamble,9,0,0,0.30960196256637573,15,1,6-29T2.mp4
431,preamble,9,1,1,-0.15293431282043457,206,1,6-29T2.mp4
432,preamble,9,0,0,0.26506251096725464,34,1,6-29T2.mp4
441,payload,9,1,0,0.9712485671043396,187,0,6-29T2.mp4
442,payload,9,1,0,1.0066109895706177,53,0,6-29T2.mp4
451,preamble,10,0,0,0.9694327116012573,169,1,6-29T2.mp4
452,preamble,10,1,0,1.003945231437683,71,0,6-29T2.mp4
461,preamble,10,0,0,0.7026165723800659,150,1,6-29T2.mp4
462,preamble,10,1,0,0.9458897709846497,90,0,6-29T2.mp4
471,preamble,10,0,0,0.6958829164505005,131,1,6-29T2.mp4
472,preamble,10,1,0,0.9356438517570496,109,0,6-29T2.mp4
481,preamble,10,0,0,0.476483017206192,112,1,6-29T2.mp4
482,payload,10,1,0,0.7815915942192078,128,0,6-29T2.mp4
491,payload,10,1,0,0.45562228560447693,93,0,6-29T2.mp4
492,payload,10,0,0,0.7728065848350525,147,1,6-29T2.mp4
501,preamble,11,1,0,0.9966986179351807,74,0,6-29T2.mp4
502,preamble,11,0,0,0.830189049243927,166,1,6-29T2.mp4
511,preamble,11,1,0,0.9996370077133179,56,0,6-29T2.mp4
512,preamble,11,0,0,0.8371868133544922,184,1,6-29T2.mp4
521,preamble,11,1,0,1.0087705850601196,37,0,6-29T2.mp4
522,preamble,11,0,0,0.9639701247215271,203,1,6-29T2.mp4
531,payload,11,1,0,1.0113725662231445,18,0,6-29T2.mp4
532,payload,11,0,0,0.9695261716842651,222,1,6-29T2.mp4
542,preamble,12,1,1,-0.14812186360359192,240,1,6-29T2.mp4
552,preamble,12,1,1,-0.14812186360359192,240,1,6-29T2.mp4
562,preamble,12,1,1,-0.15817537903785706,240,1,6-29T2.mp4
572,payload,12,0,1,-0.15817537903785706,240,0,6-29T2.mp4
582,preamble,13,0,1,-0.07717698067426682,240,0,6-29T2.mp4
592,preamble,13,0,1,-0.07717698067426682,240,0,6-29T2.mp4
602,preamble,13,0,1,-0.07165706157684326,240,0,6-29T2.mp4
612,payload,13,0,1,-0.07165706157684326,240,0,6-29T2.mp4
622,preamble,14,1,1,-0.06284688413143158,240,1,6-29T2.mp4
632,preamble,14,1,1,-0.06284688413143158,240,1,6-29T2.mp4
642,preamble,14,1,1,-0.054227061569690704,240,1,6-29T2.mp4
652,preamble,14,1,1,-0.054227061569690704,240,1,6-29T2.mp4
662,payload,14,1,1,-0.051636699587106705,240,1,6-29T2.mp4
672,preamble,15,0,1,-0.051636699587106705,240,0,6-29T2.mp4
682,preamble,15,0,1,-0.03555910661816597,240,0,6-29T2.mp4
692,preamble,15,0,1,-0.03555910661816597,240,0,6-29T2.mp4
702,payload,15,0,1,-0.03491727262735367,240,0,6-29T2.mp4
712,preamble,16,1,1,-0.03491727262735367,240,1,6-29T2.mp4
722,preamble,16,1,1,-0.03250635787844658,240,1,6-29T2.mp4
732,preamble,16,1,1,-0.03250635787844658,240,1,6-29T2.mp4
742,payload,16,1,1,-0.03242780268192291,240,1,6-29T2.mp4
752,preamble,17,0,1,-0.03242780268192291,240,0,6-29T2.mp4
762,preamble,17,0,1,-0.02971750497817993,240,0,6-29T2.mp4
772,preamble,17,0,1,-0.02971750497817993,240,0,6-29T2.mp4
782,preamble,17,0,1,-0.028186094015836716,240,0,6-29T2.mp4
792,payload,17,1,1,-0.028186094015836716,240,1,6-29T2.mp4
802,preamble,18,1,1,-0.029436219483613968,240,1,6-29T2.mp4
812,preamble,18,1,1,-0.029436219483613968,240,1,6-29T2.mp4
822,preamble,18,1,1,-0.025249002501368523,240,1,6-29T2.mp4
832,payload,18,1,1,-0.025249002501368523,240,1,6-29T2.mp4
842,preamble,19,0,1,-0.025801662355661392,240,0,6-29T2.mp4
852,preamble,19,0,1,-0.025801662355661392,240,0,6-29T2.mp4
862,preamble,19,0,1,-0.02469363808631897,240,0,6-29T2.mp4
872,payload,19,1,1,-0.02469363808631897,240,1,6-29T2.mp4
882,preamble,20,1,1,-0.02227175235748291,240,1,6-29T2.mp4
892,preamble,20,1,1,-0.02227175235748291,240,1,6-29T2.mp4
902,preamble,20,1,1,-0.022637810558080673,240,1,6-29T2.mp4
912,payload,20,1,1,-0.022637810558080673,240,1,6-29T2.mp4
922,payload,20,0,1,-0.02319234237074852,240,0,6-29T2.mp4
932,preamble,21,0,1,-0.02319234237074852,240,0,6-29T2.mp4
942,preamble,21,0,1,-0.0196775384247303,240,0,6-29T2.mp4
952,preamble,21,0,1,-0.02038709446787834,228,0,6-29T2.mp4
953,preamble,21,1,0,-0.013400796800851822,12,0,6-29T2.mp4
962,payload,21,0,1,-0.021861474961042404,209,0,6-29T2.mp4
963,payload,21,1,0,-0.008396189659833908,31,0,6-29T2.mp4
972,preamble,22,1,1,-0.023757517337799072,191,1,6-29T2.mp4
973,preamble,22,0,0,-0.01067678164690733,49,1,6-29T2.mp4
982,preamble,22,1,1,-0.023132218047976494,172,1,6-29T2.mp4
983,preamble,22,0,1,-0.01689736545085907,68,0,6-29T2.mp4
992,preamble,22,1,1,-0.0229514017701149,153,1,6-29T2.mp4
993,preamble,22,0,1,-0.01767319068312645,87,0,6-29T2.mp4
1002,payload,22,0,1,-0.0200657956302166,134,0,6-29T2.mp4
1003,payload,22,0,1,-0.020152917131781578,106,0,6-29T2.mp4
1012,preamble,23,0,1,-0.018907444551587105,115,0,6-29T2.mp4
1013,preamble,23,1,1,-0.02136959880590439,125,1,6-29T2.mp4
1022,preamble,23,0,0,-0.01297746878117323,97,1,6-29T2.mp4
1023,preamble,23,1,1,-0.01991170458495617,143,1,6-29T2.mp4
1032,preamble,23,0,0,-0.012989919632673264,78,1,6-29T2.mp4
1033,preamble,23,1,1,-0.019667446613311768,162,1,6-29T2.mp4
1042,payload,23,0,0,-0.015656042844057083,59,1,6-29T2.mp4
1043,payload,23,1,1,-0.01974336802959442,181,1,6-29T2.mp4
1052,preamble,24,1,1,-0.024470560252666473,40,1,6-29T2.mp4
1053,preamble,24,0,1,-0.018504057079553604,200,0,6-29T2.mp4
1062,preamble,24,1,1,-0.022574130445718765,22,1,6-29T2.mp4
1063,preamble,24,0,1,-0.015985656529664993,218,0,6-29T2.mp4
1072,preamble,24,1,1,-0.032373812049627304,3,1,6-29T2.mp4
1073,preamble,24,0,0,-0.015658944845199585,237,1,6-29T2.mp4
1083,preamble,24,0,1,-0.015879683196544647,240,0,6-29T2.mp4
1093,payload,24,1,1,-0.015879683196544647,240,1,6-29T2.mp4
1103,preamble,25,1,0,-0.013661232776939869,240,0,6-29T2.mp4
1113,preamble,25,1,0,-0.013661232776939869,240,0,6-29T2.mp4
1123,preamble,25,1,0,-0.01369006372988224,240,0,6-29T2.mp4
1133,payload,25,1,0,-0.01369006372988224,240,0,6-29T2.mp4
1143,preamble,26,0,0,-0.013732537627220154,240,1,6-29T2.mp4
1153,preamble,26,0,0,-0.013732537627220154,240,1,6-29T2.mp4
1163,preamble,26,0,0,-0.013525026850402355,240,1,6-29T2.mp4
1173,payload,26,1,0,-0.01478448137640953,240,0,6-29T2.mp4
1183,preamble,27,1,0,-0.014025038108229637,240,0,6-29T2.mp4
