bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
3,guard_or_pad,-1,0,1,0.49605804681777954,112,0,6-29T3.mp4
4,guard_or_pad,-1,0,1,0.8241163492202759,116,0,6-29T3.mp4
13,guard_or_pad,-1,0,0,0.37187597155570984,106,1,6-29T3.mp4
14,guard_or_pad,-1,0,1,0.5202583074569702,122,0,6-29T3.mp4
23,preamble,0,0,0,0.3444454073905945,101,1,6-29T3.mp4
24,preamble,0,1,1,0.5182234048843384,127,1,6-29T3.mp4
33,preamble,0,0,1,0.5790807008743286,95,0,6-29T3.mp4
34,preamble,0,1,1,0.7467012405395508,133,1,6-29T3.mp4
43,preamble,0,0,1,0.572228193283081,89,0,6-29T3.mp4
44,preamble,0,1,1,0.7470089793205261,139,1,6-29T3.mp4
53,payload,0,0,1,0.4042539596557617,84,0,6-29T3.mp4
54,payload,0,1,1,0.6239677667617798,144,1,6-29T3.mp4
63,preamble,1,1,0,0.3320143222808838,78,0,6-29T3.mp4
64,preamble,1,0,1,0.6269095540046692,150,0,6-29T3.mp4
73,preamble,1,1,1,1.0,73,1,6-29T3.mp4
74,preamble,1,0,1,1.0,155,0,6-29T3.mp4
83,preamble,1,1,1,1.0,67,1,6-29T3.mp4
84,preamble,1,0,1,1.0,161,0,6-29T3.mp4
93,preamble,1,1,1,0.4064563512802124,61,1,6-29T3.mp4
94,preamble,1,0,0,0.07133273780345917,167,1,6-29T3.mp4
103,payload,1,1,1,0.4206404983997345,56,1,6-29T3.mp4
104,payload,1,1,0,0.0724886879324913,172,0,6-29T3.mp4
113,preamble,2,0,0,0.11692733317613602,51,1,6-29T3.mp4
114,preamble,2,1,1,0.3952685594558716,177,1,6-29T3.mp4
123,preamble,2,0,0,0.10332474112510681,45,1,6-29T3.mp4
124,preamble,2,1,1,0.3948397934436798,183,1,6-29T3.mp4
133,preamble,2,0,0,-0.5,39,1,6-29T3.mp4
134,preamble,2,1,0,0.08450157195329666,189,0,6-29T3.mp4
143,payload,2,0,0,-0.5,34,1,6-29T3.mp4
144,payload,2,1,0,0.07794858515262604,194,0,6-29T3.mp4
153,preamble,3,1,0,-0.5,28,0,6-29T3.mp4
154,preamble,3,0,0,-0.33410462737083435,200,1,6-29T3.mp4
163,preamble,3,1,0,-0.5,22,0,6-29T3.mp4
164,preamble,3,0,0,-0.3409775197505951,206,1,6-29T3.mp4
173,preamble,3,1,1,0.4793980121612549,17,1,6-29T3.mp4
174,preamble,3,0,1,0.9038947224617004,211,0,6-29T3.mp4
183,payload,3,1,1,0.47882306575775146,12,1,6-29T3.mp4
184,payload,3,1,1,0.9035916328430176,216,1,6-29T3.mp4
193,preamble,4,0,1,0.7830096483230591,12,0,6-29T3.mp4
194,preamble,4,1,1,0.7911183834075928,216,1,6-29T3.mp4
203,preamble,4,0,1,0.7783800363540649,8,0,6-29T3.mp4
204,preamble,4,1,1,0.7898983955383301,220,1,6-29T3.mp4
213,preamble,4,0,1,0.9127447605133057,4,0,6-29T3.mp4
214,preamble,4,1,1,0.5072637796401978,224,1,6-29T3.mp4
223,preamble,4,0,1,0.9197530150413513,1,0,6-29T3.mp4
224,payload,4,1,1,0.5185078978538513,227,1,6-29T3.mp4
234,payload,4,0,1,0.5176131725311279,228,0,6-29T3.mp4
244,preamble,5,0,1,0.5176131725311279,228,0,6-29T3.mp4
254,preamble,5,0,0,-0.21707701683044434,228,1,6-29T3.mp4
264,preamble,5,0,0,-0.21707701683044434,228,1,6-29T3.mp4
274,payload,5,0,0,-0.0662723109126091,228,1,6-29T3.mp4
284,preamble,6,1,0,-0.0662723109126091,228,0,6-29T3.mp4
294,preamble,6,1,1,0.6898631453514099,228,1,6-29T3.mp4
304,preamble,6,1,1,0.6898631453514099,228,1,6-29T3.mp4
314,payload,6,0,0,0.12209481000900269,228,1,6-29T3.mp4
324,preamble,7,0,0,0.12209481000900269,228,1,6-29T3.mp4
334,preamble,7,0,1,0.4005706310272217,228,0,6-29T3.mp4
344,preamble,7,0,1,0.4005706310272217,228,0,6-29T3.mp4
354,payload,7,0,1,0.6794906258583069,228,0,6-29T3.mp4
364,preamble,8,1,1,0.6794906258583069,228,1,6-29T3.mp4
374,preamble,8,1,1,1.0281362533569336,228,1,6-29T3.mp4
384,preamble,8,1,1,1.0281362533569336,228,1,6-29T3.mp4
394,preamble,8,1,0,0.23584145307540894,228,0,6-29T3.mp4
404,payload,8,1,0,0.23584145307540894,228,0,6-29T3.mp4
414,preamble,9,0,1,0.40332990884780884,228,0,6-29T3.mp4
424,preamble,9,0,1,0.40332990884780884,228,0,6-29T3.mp4
434,preamble,9,0,0,0.02155500277876854,228,1,6-29T3.mp4
444,payload,9,0,0,0.02155500277876854,228,1,6-29T3.mp4
454,preamble,10,1,1,0.7078961133956909,228,1,6-29T3.mp4
464,preamble,10,1,1,0.7078961133956909,228,1,6-29T3.mp4
474,preamble,10,1,0,-0.2924499213695526,228,0,6-29T3.mp4
484,payload,10,1,0,-0.2924499213695526,228,0,6-29T3.mp4
494,preamble,11,0,0,-0.12328997254371643,228,1,6-29T3.mp4
504,preamble,11,0,0,-0.12328997254371643,228,1,6-29T3.mp4
514,preamble,11,0,0,-0.09497401863336563,228,1,6-29T3.mp4
524,preamble,11,0,0,-0.09497401863336563,228,1,6-29T3.mp4
534,payload,11,1,0,-0.07951867580413818,228,0,6-29T3.mp4
2,guard_or_pad,-1,0,0,0.7116562128067017,240,1,6-29T4.mp4
12,guard_or_pad,-1,0,1,-0.14789527654647827,240,0,6-29T4.mp4
22,preamble,0,1,1,-0.14789527654647827,240,1,6-29T4.mp4
32,preamble,0,1,1,-0.18092656135559082,240,1,6-29T4.mp4
42,preamble,0,1,1,-0.18092656135559082,240,1,6-29T4.mp4
52,payload,0,1,0,0.6968221664428711,240,0,6-29T4.mp4
62,payload,0,0,0,0.6968221664428711,240,1,6-29T4.mp4
72,preamble,1,0,0,0.5014159679412842,240,1,6-29T4.mp4
82,preamble,1,0,0,0.5014159679412842,240,1,6-29T4.mp4
92,preamble,1,0,0,0.9499287605285645,240,1,6-29T4.mp4
102,payload,1,0,0,0.9499287605285645,240,1,6-29T4.mp4
112,preamble,2,1,0,0.9711766242980957,240,0,6-29T4.mp4
122,preamble,2,1,0,0.9711766242980957,240,0,6-29T4.mp4
132,preamble,2,1,0,1.0035786628723145,240,0,6-29T4.mp4
142,payload,2,0,0,1.0035786628723145,240,1,6-29T4.mp4
152,preamble,3,0,1,0.39276570081710815,240,0,6-29T4.mp4
162,preamble,3,0,1,0.39276570081710815,240,0,6-29T4.mp4
172,preamble,3,0,0,0.49869081377983093,240,1,6-29T4.mp4
182,payload,3,0,0,0.49869081377983093,240,1,6-29T4.mp4
192,preamble,4,1,1,0.16324403882026672,240,1,6-29T4.mp4
202,preamble,4,1,1,0.16324403882026672,240,1,6-29T4.mp4
212,preamble,4,1,1,-0.08835971355438232,240,1,6-29T4.mp4
222,preamble,4,1,1,-0.08835971355438232,240,1,6-29T4.mp4
232,payload,4,1,0,0.8906413316726685,240,0,6-29T4.mp4
242,preamble,5,0,0,0.8906413316726685,240,1,6-29T4.mp4
252,preamble,5,0,0,0.6381606459617615,240,1,6-29T4.mp4
262,preamble,5,0,0,0.6381606459617615,240,1,6-29T4.mp4
272,payload,5,0,1,0.4008248746395111,240,0,6-29T4.mp4
282,preamble,6,1,1,0.4008248746395111,240,1,6-29T4.mp4
292,preamble,6,1,0,0.6274858713150024,240,0,6-29T4.mp4
302,preamble,6,1,0,0.6274858713150024,240,0,6-29T4.mp4
312,payload,6,1,1,-0.23179352283477783,240,1,6-29T4.mp4
322,preamble,7,0,1,-0.23179352283477783,240,0,6-29T4.mp4
332,preamble,7,0,1,-0.25836890935897827,240,0,6-29T4.mp4
342,preamble,7,0,1,-0.25836890935897827,240,0,6-29T4.mp4
352,preamble,7,0,0,0.6091839075088501,240,1,6-29T4.mp4
362,payload,7,1,0,0.6091839075088501,240,0,6-29T4.mp4
372,preamble,8,1,1,0.3480815887451172,240,1,6-29T4.mp4
382,preamble,8,1,1,0.3480815887451172,240,1,6-29T4.mp4
392,preamble,8,1,0,0.7209805250167847,240,0,6-29T4.mp4
402,payload,8,1,0,0.7209805250167847,240,0,6-29T4.mp4
412,preamble,9,0,0,0.8432170152664185,240,1,6-29T4.mp4
421,preamble,9,1,0,0.8475222587585449,1,0,6-29T4.mp4
422,preamble,9,0,0,0.8423811793327332,239,1,6-29T4.mp4
431,preamble,9,1,0,0.8736255764961243,1,0,6-29T4.mp4
432,preamble,9,0,0,0.8446980714797974,239,1,6-29T4.mp4
441,payload,9,1,0,0.8735615015029907,2,0,6-29T4.mp4
442,payload,9,1,0,0.844417929649353,238,0,6-29T4.mp4
451,preamble,10,0,1,-0.15774282813072205,2,0,6-29T4.mp4
452,preamble,10,1,1,0.02540006674826145,238,1,6-29T4.mp4
461,preamble,10,0,1,-0.1571560800075531,3,0,6-29T4.mp4
462,preamble,10,1,1,0.025516632944345474,237,1,6-29T4.mp4
471,preamble,10,0,1,0.1374295949935913,3,0,6-29T4.mp4
472,preamble,10,1,1,0.4090662896633148,237,1,6-29T4.mp4
