bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
6,guard_or_pad,-1,0,1,0.41080242395401,12,0,6-29T3.mp4
16,guard_or_pad,-1,0,1,0.2501230239868164,12,0,6-29T3.mp4
26,preamble,0,1,1,0.2501230239868164,12,1,6-29T3.mp4
36,preamble,0,1,1,0.20015668869018555,12,1,6-29T3.mp4
46,preamble,0,1,1,0.20015668869018555,12,1,6-29T3.mp4
56,payload,0,0,1,0.5303851962089539,12,0,6-29T3.mp4
66,preamble,1,0,1,0.5303851962089539,12,0,6-29T3.mp4
76,preamble,1,0,0,0.7812957167625427,12,1,6-29T3.mp4
86,preamble,1,0,0,0.7812957167625427,12,1,6-29T3.mp4
96,payload,1,0,0,0.669924795627594,12,1,6-29T3.mp4
106,preamble,2,1,0,0.669924795627594,12,0,6-29T3.mp4
116,preamble,2,1,1,0.5760287046432495,12,1,6-29T3.mp4
126,preamble,2,1,1,0.5760287046432495,12,1,6-29T3.mp4
136,preamble,2,1,1,0.5272049903869629,12,1,6-29T3.mp4
146,payload,2,1,1,0.5272049903869629,12,1,6-29T3.mp4
156,preamble,3,0,1,0.21202850341796875,12,0,6-29T3.mp4
166,preamble,3,0,1,0.21202850341796875,12,0,6-29T3.mp4
176,preamble,3,0,1,0.3954588770866394,12,0,6-29T3.mp4
186,payload,3,0,1,0.3954588770866394,12,0,6-29T3.mp4
196,preamble,4,1,1,0.5044580698013306,12,1,6-29T3.mp4
206,preamble,4,1,1,0.5044580698013306,12,1,6-29T3.mp4
216,preamble,4,1,1,0.2748716473579407,12,1,6-29T3.mp4
226,payload,4,1,1,0.2748716473579407,12,1,6-29T3.mp4
236,preamble,5,0,1,0.6565829515457153,12,0,6-29T3.mp4
246,preamble,5,0,1,0.6565829515457153,12,0,6-29T3.mp4
256,preamble,5,0,0,0.89380943775177,12,1,6-29T3.mp4
266,preamble,5,0,0,0.89380943775177,12,1,6-29T3.mp4
276,payload,5,1,1,0.31040114164352417,12,1,6-29T3.mp4
286,preamble,6,1,1,0.31040114164352417,12,1,6-29T3.mp4
296,preamble,6,1,1,0.24406683444976807,12,1,6-29T3.mp4
306,preamble,6,1,1,0.3432585895061493,10,1,6-29T3.mp4
307,preamble,6,0,1,0.08065691590309143,2,0,6-29T3.mp4
316,payload,6,1,1,0.21703679859638214,8,1,6-29T3.mp4
317,payload,6,0,1,0.3044392764568329,4,0,6-29T3.mp4
326,preamble,7,0,1,-0.02207704447209835,6,0,6-29T3.mp4
327,preamble,7,1,1,0.3669512867927551,6,1,6-29T3.mp4
336,preamble,7,0,1,-0.049883563071489334,5,0,6-29T3.mp4
337,preamble,7,1,1,0.4055304527282715,7,1,6-29T3.mp4
346,preamble,7,0,1,-0.11705294996500015,4,0,6-29T3.mp4
347,preamble,7,1,1,0.42223310470581055,8,1,6-29T3.mp4
356,payload,7,1,1,-0.19761525094509125,4,1,6-29T3.mp4
357,payload,7,0,1,0.6574418544769287,8,0,6-29T3.mp4
366,preamble,8,1,1,-0.19761525094509125,4,1,6-29T3.mp4
367,preamble,8,0,1,0.6574418544769287,8,0,6-29T3.mp4
376,preamble,8,1,1,-0.12018929421901703,4,1,6-29T3.mp4
377,preamble,8,0,0,0.8453916907310486,8,1,6-29T3.mp4
386,preamble,8,1,1,-0.12018929421901703,4,1,6-29T3.mp4
387,preamble,8,0,0,0.8453916907310486,8,1,6-29T3.mp4
396,payload,8,1,1,-0.11401885002851486,4,1,6-29T3.mp4
397,payload,8,0,0,0.6765206456184387,8,1,6-29T3.mp4
406,payload,8,0,1,-0.11401885002851486,4,0,6-29T3.mp4
407,preamble,9,1,0,0.6765206456184387,8,0,6-29T3.mp4
416,preamble,9,0,1,-0.24794787168502808,4,0,6-29T3.mp4
417,preamble,9,1,0,0.6977192163467407,8,0,6-29T3.mp4
426,preamble,9,0,1,-0.24794787168502808,4,0,6-29T3.mp4
427,preamble,9,1,0,0.6977192163467407,8,0,6-29T3.mp4
436,preamble,9,0,1,-0.16321270167827606,4,0,6-29T3.mp4
437,preamble,9,1,1,0.38020217418670654,8,1,6-29T3.mp4
446,payload,9,0,1,-0.16321270167827606,4,0,6-29T3.mp4
447,payload,9,1,1,0.38020217418670654,8,1,6-29T3.mp4
456,preamble,10,1,1,0.004550915211439133,4,1,6-29T3.mp4
457,preamble,10,0,0,0.7596834301948547,8,1,6-29T3.mp4
466,preamble,10,1,1,0.004550915211439133,4,1,6-29T3.mp4
467,preamble,10,0,0,0.7596834301948547,8,1,6-29T3.mp4
476,preamble,10,1,1,-0.17243701219558716,4,1,6-29T3.mp4
477,preamble,10,0,0,0.9874060153961182,8,1,6-29T3.mp4
486,payload,10,0,1,-0.17243701219558716,4,0,6-29T3.mp4
487,payload,10,0,0,0.9874060153961182,8,1,6-29T3.mp4
496,preamble,11,0,1,-0.16056901216506958,4,0,6-29T3.mp4
497,preamble,11,1,0,1.1831772327423096,8,0,6-29T3.mp4
506,preamble,11,0,1,-0.16056901216506958,4,0,6-29T3.mp4
