bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
4,guard_or_pad,-1,0,1,0.9784209728240967,224,0,7-1T1 .mp4
5,guard_or_pad,-1,0,1,0.9941326379776001,16,0,7-1T1 .mp4
14,guard_or_pad,-1,0,1,0.9835271835327148,225,0,7-1T1 .mp4
15,guard_or_pad,-1,0,1,0.9913671016693115,15,0,7-1T1 .mp4
24,preamble,0,1,1,0.9858866930007935,225,1,7-1T1 .mp4
25,preamble,0,0,1,0.9846281409263611,15,0,7-1T1 .mp4
34,preamble,0,1,1,0.9920920729637146,226,1,7-1T1 .mp4
35,preamble,0,0,0,-0.010618166998028755,14,1,7-1T1 .mp4
44,preamble,0,1,1,0.9956033229827881,226,1,7-1T1 .mp4
45,preamble,0,0,1,0.9889307022094727,14,0,7-1T1 .mp4
54,payload,0,1,0,0.0035937766078859568,227,0,7-1T1 .mp4
55,payload,0,1,1,0.9889439940452576,13,1,7-1T1 .mp4
64,preamble,1,0,0,0.0036010942421853542,227,1,7-1T1 .mp4
65,preamble,1,1,1,0.9889439940452576,13,1,7-1T1 .mp4
74,preamble,1,0,0,0.003747896756976843,228,1,7-1T1 .mp4
75,preamble,1,1,1,0.9906357526779175,12,1,7-1T1 .mp4
84,preamble,1,0,0,0.3933885395526886,229,1,7-1T1 .mp4
85,preamble,1,1,1,0.9922215938568115,11,1,7-1T1 .mp4
94,preamble,1,0,0,0.005446364171802998,229,1,7-1T1 .mp4
95,payload,1,1,0,0.003433199832215905,11,0,7-1T1 .mp4
104,payload,1,1,0,0.004056642297655344,230,0,7-1T1 .mp4
105,payload,1,0,0,0.003432049648836255,10,1,7-1T1 .mp4
114,preamble,2,1,0,0.0027360497042536736,230,0,7-1T1 .mp4
115,preamble,2,0,0,-5.4423198889708146e-05,10,1,7-1T1 .mp4
124,preamble,2,1,1,0.9925825595855713,231,1,7-1T1 .mp4
125,preamble,2,0,1,0.5325131416320801,9,0,7-1T1 .mp4
134,preamble,2,1,1,0.9985516667366028,231,1,7-1T1 .mp4
135,preamble,2,0,0,0.01782945729792118,9,1,7-1T1 .mp4
144,payload,2,1,1,0.990538477897644,232,1,7-1T1 .mp4
145,payload,2,0,0,-0.013151563704013824,8,1,7-1T1 .mp4
154,preamble,3,0,1,0.9938545823097229,232,0,7-1T1 .mp4
155,preamble,3,1,0,-0.01280925888568163,8,0,7-1T1 .mp4
164,preamble,3,0,1,0.9936885833740234,233,0,7-1T1 .mp4
165,preamble,3,1,0,-0.012830793857574463,7,0,7-1T1 .mp4
174,preamble,3,0,0,0.0039529986679553986,233,1,7-1T1 .mp4
175,preamble,3,1,1,1.0,7,1,7-1T1 .mp4
184,payload,3,1,0,0.47142505645751953,234,0,7-1T1 .mp4
185,payload,3,0,1,1.0,6,0,7-1T1 .mp4
194,preamble,4,1,1,0.9504103660583496,235,1,7-1T1 .mp4
195,preamble,4,0,1,1.0,5,0,7-1T1 .mp4
204,preamble,4,1,1,0.9888154864311218,235,1,7-1T1 .mp4
205,preamble,4,0,1,1.0,5,0,7-1T1 .mp4
214,preamble,4,1,1,0.9919062852859497,236,1,7-1T1 .mp4
