bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
2,guard_or_pad,-1,0,1,0.9822410345077515,240,0,7-1T1 .mp4
12,guard_or_pad,-1,0,1,0.9847297072410583,240,0,7-1T1 .mp4
22,preamble,0,1,1,0.9851816892623901,240,1,7-1T1 .mp4
32,preamble,0,1,1,0.9915422201156616,240,1,7-1T1 .mp4
42,preamble,0,1,1,0.9949947595596313,240,1,7-1T1 .mp4
52,payload,0,1,0,0.0036036460660398006,240,0,7-1T1 .mp4
62,payload,0,0,0,0.0036400863900780678,240,1,7-1T1 .mp4
72,preamble,1,0,0,0.004213856533169746,240,1,7-1T1 .mp4
82,preamble,1,0,1,0.8808211088180542,240,0,7-1T1 .mp4
92,preamble,1,0,0,0.004904971923679113,240,1,7-1T1 .mp4
102,payload,1,0,0,0.0039896974340081215,240,1,7-1T1 .mp4
112,preamble,2,1,0,0.002434900961816311,240,0,7-1T1 .mp4
122,preamble,2,1,1,0.9923467636108398,240,1,7-1T1 .mp4
132,preamble,2,1,1,0.9980870485305786,240,1,7-1T1 .mp4
142,payload,2,0,1,0.9904069304466248,240,0,7-1T1 .mp4
152,preamble,3,0,1,0.9936888217926025,240,0,7-1T1 .mp4
162,preamble,3,0,1,0.9932413697242737,240,0,7-1T1 .mp4
172,preamble,3,0,0,0.004059446044266224,240,1,7-1T1 .mp4
182,payload,3,0,1,0.6741021871566772,240,0,7-1T1 .mp4
192,preamble,4,1,1,0.9732110500335693,240,1,7-1T1 .mp4
202,preamble,4,1,1,0.988914430141449,240,1,7-1T1 .mp4
212,preamble,4,1,1,0.992376446723938,240,1,7-1T1 .mp4
222,preamble,4,1,0,0.003935487475246191,240,0,7-1T1 .mp4
232,payload,4,1,0,0.0037964568473398685,240,0,7-1T1 .mp4
242,preamble,5,0,0,0.0030393865890800953,240,1,7-1T1 .mp4
252,preamble,5,0,0,0.003116185311228037,240,1,7-1T1 .mp4
262,preamble,5,0,1,0.999854326248169,240,0,7-1T1 .mp4
272,payload,5,0,1,0.9934785962104797,240,0,7-1T1 .mp4
282,preamble,6,1,0,0.00841996818780899,240,0,7-1T1 .mp4
292,preamble,6,1,1,1.0026772022247314,240,1,7-1T1 .mp4
302,preamble,6,1,1,0.9901382327079773,240,1,7-1T1 .mp4
312,payload,6,1,1,0.9910826683044434,240,1,7-1T1 .mp4
322,preamble,7,0,1,0.990562915802002,240,0,7-1T1 .mp4
332,preamble,7,0,1,0.9919477701187134,240,0,7-1T1 .mp4
342,preamble,7,0,0,0.0012261774390935898,240,1,7-1T1 .mp4
352,preamble,7,0,0,0.0015033051604405046,240,1,7-1T1 .mp4
362,payload,7,1,0,0.001516696996986866,240,0,7-1T1 .mp4
372,preamble,8,1,0,0.0018531274981796741,240,0,7-1T1 .mp4
382,preamble,8,1,1,0.8321191072463989,240,1,7-1T1 .mp4
392,preamble,8,1,0,0.001304215518757701,240,0,7-1T1 .mp4
402,payload,8,1,0,0.000812788144685328,240,0,7-1T1 .mp4
412,preamble,9,0,0,0.0008156636031344533,240,1,7-1T1 .mp4
422,preamble,9,0,0,0.0008901687106117606,240,1,7-1T1 .mp4
432,preamble,9,0,1,1.0043588876724243,240,0,7-1T1 .mp4
442,payload,9,1,1,1.0078990459442139,240,1,7-1T1 .mp4
452,preamble,10,1,1,1.0095551013946533,240,1,7-1T1 .mp4
462,preamble,10,1,1,1.0105793476104736,240,1,7-1T1 .mp4
472,preamble,10,1,1,0.7240415811538696,240,1,7-1T1 .mp4
482,payload,10,1,1,0.8640645742416382,240,1,7-1T1 .mp4
492,payload,10,0,1,0.9633826613426208,240,0,7-1T1 .mp4
502,preamble,11,0,1,0.9875030517578125,240,0,7-1T1 .mp4
512,preamble,11,0,0,0.00014576464309357107,240,1,7-1T1 .mp4
522,preamble,11,0,0,0.00010591340833343565,240,1,7-1T1 .mp4
532,payload,11,0,0,0.0003673027385957539,240,1,7-1T1 .mp4
542,preamble,12,1,0,0.00034449234954081476,240,0,7-1T1 .mp4
552,preamble,12,1,0,0.002174430526793003,240,0,7-1T1 .mp4
562,preamble,12,1,1,1.0071629285812378,240,1,7-1T1 .mp4
572,payload,12,0,1,0.6303253769874573,240,0,7-1T1 .mp4
582,preamble,13,0,0,0.0003690070298034698,240,1,7-1T1 .mp4
592,preamble,13,0,0,0.000693832291290164,240,1,7-1T1 .mp4
602,preamble,13,0,1,0.8884762525558472,240,0,7-1T1 .mp4
612,payload,13,0,1,0.9135791063308716,240,0,7-1T1 .mp4
622,preamble,14,1,1,0.9967305064201355,240,1,7-1T1 .mp4
632,preamble,14,1,1,1.0125049352645874,240,1,7-1T1 .mp4
642,preamble,14,1,0,0.004208543337881565,240,0,7-1T1 .mp4
652,preamble,14,1,0,0.004589760676026344,240,0,7-1T1 .mp4
662,payload,14,1,0,0.009202562272548676,240,0,7-1T1 .mp4
672,preamble,15,0,1,0.7361968755722046,240,0,7-1T1 .mp4
681,preamble,15,1,1,1.3964498043060303,1,1,7-1T1 .mp4
682,preamble,15,0,0,0.005325557664036751,239,1,7-1T1 .mp4
691,preamble,15,1,1,1.3807977437973022,3,1,7-1T1 .mp4
692,preamble,15,0,0,0.004164829850196838,237,1,7-1T1 .mp4
701,payload,15,0,1,1.3789541721343994,4,0,7-1T1 .mp4
702,payload,15,0,0,0.0038153347559273243,236,1,7-1T1 .mp4
711,preamble,16,0,1,1.3654524087905884,6,0,7-1T1 .mp4
712,preamble,16,1,0,0.003966581542044878,234,0,7-1T1 .mp4
721,preamble,16,0,1,1.3507992029190063,7,0,7-1T1 .mp4
722,preamble,16,1,0,0.0037677378859370947,233,0,7-1T1 .mp4
731,preamble,16,0,1,1.1740199327468872,9,0,7-1T1 .mp4
732,preamble,16,1,1,0.9966761469841003,231,1,7-1T1 .mp4
741,payload,16,0,1,1.3296955823898315,11,0,7-1T1 .mp4
742,payload,16,1,1,0.9920575618743896,229,1,7-1T1 .mp4
751,preamble,17,1,1,1.3317136764526367,12,1,7-1T1 .mp4
752,preamble,17,0,1,1.0003684759140015,228,0,7-1T1 .mp4
761,preamble,17,1,0,-0.006013747304677963,14,0,7-1T1 .mp4
762,preamble,17,0,0,-0.0069657182320952415,226,1,7-1T1 .mp4
771,preamble,17,1,0,-0.005982073023915291,15,0,7-1T1 .mp4
772,preamble,17,0,1,0.7043521404266357,225,0,7-1T1 .mp4
781,preamble,17,1,0,-0.005430818535387516,17,0,7-1T1 .mp4
782,preamble,17,0,1,0.7719155550003052,223,0,7-1T1 .mp4
791,payload,17,1,0,-0.005409539677202702,18,0,7-1T1 .mp4
792,payload,17,1,1,0.8415106534957886,222,1,7-1T1 .mp4
801,preamble,18,0,0,-0.005388173740357161,20,1,7-1T1 .mp4
802,preamble,18,1,1,0.8518223762512207,220,1,7-1T1 .mp4
811,preamble,18,0,1,1.277796745300293,22,0,7-1T1 .mp4
812,preamble,18,1,0,0.0019722883589565754,218,0,7-1T1 .mp4
821,preamble,18,0,0,0.015558581799268723,23,1,7-1T1 .mp4
822,preamble,18,1,0,0.0019749836064875126,217,0,7-1T1 .mp4
831,payload,18,0,0,-0.005074736662209034,25,1,7-1T1 .mp4
832,payload,18,1,0,0.0020064422860741615,215,0,7-1T1 .mp4
841,preamble,19,1,0,-0.005383684299886227,26,0,7-1T1 .mp4
842,preamble,19,0,0,0.0021176994778215885,214,1,7-1T1 .mp4
851,preamble,19,1,1,1.229162573814392,28,1,7-1T1 .mp4
852,preamble,19,0,1,0.9924752712249756,212,0,7-1T1 .mp4
861,preamble,19,1,1,1.2149958610534668,30,1,7-1T1 .mp4
862,preamble,19,0,0,0.004420936573296785,210,1,7-1T1 .mp4
871,payload,19,1,1,1.201229214668274,31,1,7-1T1 .mp4
872,payload,19,1,0,0.0032647119369357824,209,0,7-1T1 .mp4
881,preamble,20,0,1,1.1999040842056274,33,0,7-1T1 .mp4
882,preamble,20,1,0,0.0026427528355270624,207,0,7-1T1 .mp4
891,preamble,20,0,1,1.189507007598877,34,0,7-1T1 .mp4
892,preamble,20,1,0,0.0012950939126312733,206,0,7-1T1 .mp4
901,preamble,20,0,0,0.0019215972861275077,36,1,7-1T1 .mp4
902,preamble,20,1,1,0.8430147171020508,204,1,7-1T1 .mp4
911,preamble,20,0,0,0.0019140384392812848,37,1,7-1T1 .mp4
912,payload,20,1,1,0.8570177555084229,203,1,7-1T1 .mp4
921,payload,20,1,1,1.0150160789489746,39,1,7-1T1 .mp4
922,payload,20,0,1,0.9253843426704407,201,0,7-1T1 .mp4
931,preamble,21,1,0,0.0007344712503254414,41,0,7-1T1 .mp4
932,preamble,21,0,0,0.0,199,1,7-1T1 .mp4
941,preamble,21,1,0,0.0005616806447505951,42,0,7-1T1 .mp4
942,preamble,21,0,0,0.0004235440865159035,198,1,7-1T1 .mp4
951,preamble,21,1,0,0.0005119274137541652,44,0,7-1T1 .mp4
952,preamble,21,0,0,0.011182563379406929,196,1,7-1T1 .mp4
961,payload,21,1,0,0.00027456419775262475,45,0,7-1T1 .mp4
962,payload,21,0,1,0.6916196942329407,195,0,7-1T1 .mp4
971,preamble,22,0,0,0.00022464350331574678,47,1,7-1T1 .mp4
972,preamble,22,1,1,0.7410136461257935,193,1,7-1T1 .mp4
981,preamble,22,0,1,1.1003223657608032,49,0,7-1T1 .mp4
982,preamble,22,1,0,0.0,191,0,7-1T1 .mp4
991,preamble,22,0,1,1.0970203876495361,50,0,7-1T1 .mp4
992,preamble,22,1,0,0.0,190,0,7-1T1 .mp4
1001,payload,22,1,1,1.0927444696426392,52,1,7-1T1 .mp4
1002,payload,22,0,0,-0.0010957051999866962,188,1,7-1T1 .mp4
1011,preamble,23,1,0,0.23468266427516937,53,0,7-1T1 .mp4
1012,preamble,23,0,0,-0.0009626200771890581,187,1,7-1T1 .mp4
1021,preamble,23,1,1,1.069636583328247,55,1,7-1T1 .mp4
1022,preamble,23,0,1,0.8353844285011292,185,0,7-1T1 .mp4
1031,preamble,23,1,1,1.0571582317352295,56,1,7-1T1 .mp4
1032,preamble,23,0,1,0.8339158296585083,184,0,7-1T1 .mp4
1041,payload,23,1,1,1.0612092018127441,58,1,7-1T1 .mp4
1042,payload,23,0,1,0.8244494199752808,182,0,7-1T1 .mp4
