bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
7,guard_or_pad,-1,0,1,0.9973894953727722,120,0,7-1T1 .mp4
17,guard_or_pad,-1,0,1,1.000287652015686,120,0,7-1T1 .mp4
27,preamble,0,0,1,0.9863866567611694,120,0,7-1T1 .mp4
37,preamble,0,0,0,0.0023265420459210873,120,1,7-1T1 .mp4
47,preamble,0,0,1,0.9916203022003174,120,0,7-1T1 .mp4
57,payload,0,0,1,0.9906021356582642,120,0,7-1T1 .mp4
67,preamble,1,1,1,0.9864322543144226,120,1,7-1T1 .mp4
77,preamble,1,1,1,0.9947115778923035,120,1,7-1T1 .mp4
87,preamble,1,1,1,0.9963301420211792,120,1,7-1T1 .mp4
97,payload,1,1,0,0.003600785741582513,120,0,7-1T1 .mp4
107,preamble,2,0,0,0.003600785741582513,120,1,7-1T1 .mp4
117,preamble,2,0,0,0.003854198381304741,120,1,7-1T1 .mp4
127,preamble,2,0,1,0.8854730129241943,120,0,7-1T1 .mp4
137,preamble,2,0,0,0.0021521514281630516,120,1,7-1T1 .mp4
147,payload,2,1,0,0.0021521514281630516,120,0,7-1T1 .mp4
157,preamble,3,1,0,0.0002340288774576038,120,0,7-1T1 .mp4
167,preamble,3,1,1,0.9897122383117676,120,1,7-1T1 .mp4
177,preamble,3,1,1,1.0009790658950806,120,1,7-1T1 .mp4
187,payload,3,1,1,0.9920544028282166,120,1,7-1T1 .mp4
197,preamble,4,0,1,0.9929230213165283,120,0,7-1T1 .mp4
207,preamble,4,0,1,0.9928319454193115,120,0,7-1T1 .mp4
217,preamble,4,0,0,0.0034356103278696537,120,1,7-1T1 .mp4
227,payload,4,1,1,0.6677334904670715,120,1,7-1T1 .mp4
237,preamble,5,1,1,0.9443246722221375,120,1,7-1T1 .mp4
247,preamble,5,1,1,0.9856753349304199,120,1,7-1T1 .mp4
257,preamble,5,1,1,0.9909249544143677,120,1,7-1T1 .mp4
267,payload,5,1,0,0.003474874421954155,120,0,7-1T1 .mp4
277,payload,5,0,0,0.003474874421954155,120,1,7-1T1 .mp4
287,preamble,6,0,0,0.003447194118052721,120,1,7-1T1 .mp4
297,preamble,6,0,0,0.0034505019430071115,120,1,7-1T1 .mp4
307,preamble,6,0,1,1.0020231008529663,120,0,7-1T1 .mp4
317,payload,6,0,1,0.9925405979156494,120,0,7-1T1 .mp4
327,preamble,7,1,0,0.012567291967570782,120,0,7-1T1 .mp4
337,preamble,7,1,1,1.005319595336914,120,1,7-1T1 .mp4
346,preamble,7,0,0,0.0032324623316526413,1,1,7-1T1 .mp4
347,preamble,7,1,1,1.0001180171966553,119,1,7-1T1 .mp4
356,payload,7,1,1,0.7597801685333252,1,1,7-1T1 .mp4
357,payload,7,0,1,1.0006905794143677,119,0,7-1T1 .mp4
366,preamble,8,1,1,0.9573643803596497,1,1,7-1T1 .mp4
367,preamble,8,0,1,0.9987683296203613,119,0,7-1T1 .mp4
376,preamble,8,1,1,0.9761933088302612,2,1,7-1T1 .mp4
377,preamble,8,0,1,0.9994293451309204,118,0,7-1T1 .mp4
386,preamble,8,1,0,0.0014551141066476703,2,0,7-1T1 .mp4
387,preamble,8,0,0,0.0011813766323029995,118,1,7-1T1 .mp4
396,payload,8,1,0,0.0014551141066476703,2,0,7-1T1 .mp4
397,payload,8,0,0,0.0014753270661458373,118,1,7-1T1 .mp4
406,payload,8,0,0,0.0014551141066476703,2,1,7-1T1 .mp4
407,preamble,9,1,0,0.0014753270661458373,118,0,7-1T1 .mp4
416,preamble,9,0,0,0.0010202492121607065,3,1,7-1T1 .mp4
417,preamble,9,1,0,0.002014452125877142,117,0,7-1T1 .mp4
426,preamble,9,0,0,0.0006377279642038047,3,1,7-1T1 .mp4
427,preamble,9,1,1,0.8274370431900024,117,1,7-1T1 .mp4
436,preamble,9,0,1,1.0169590711593628,3,0,7-1T1 .mp4
437,preamble,9,1,0,0.0012236976763233542,117,0,7-1T1 .mp4
446,payload,9,0,1,0.9936128258705139,4,0,7-1T1 .mp4
447,payload,9,1,0,0.0008531023049727082,116,0,7-1T1 .mp4
456,preamble,10,1,0,0.0024104751646518707,4,0,7-1T1 .mp4
457,preamble,10,0,0,0.0007476678001694381,116,1,7-1T1 .mp4
466,preamble,10,1,0,0.0015177067834883928,4,0,7-1T1 .mp4
467,preamble,10,0,0,0.0007476678001694381,116,1,7-1T1 .mp4
476,preamble,10,1,1,1.0052061080932617,4,1,7-1T1 .mp4
477,preamble,10,0,1,1.0136513710021973,116,0,7-1T1 .mp4
486,payload,10,0,1,1.0051497220993042,5,0,7-1T1 .mp4
487,payload,10,0,1,1.0139747858047485,115,0,7-1T1 .mp4
496,preamble,11,0,1,1.008516550064087,5,0,7-1T1 .mp4
497,preamble,11,1,1,1.014066457748413,115,1,7-1T1 .mp4
506,preamble,11,0,1,1.0051497220993042,5,0,7-1T1 .mp4
507,preamble,11,1,1,1.0162221193313599,115,1,7-1T1 .mp4
516,preamble,11,0,0,-0.00020544537983369082,6,1,7-1T1 .mp4
517,preamble,11,1,1,0.7438701391220093,114,1,7-1T1 .mp4
526,payload,11,0,0,-0.00020544537983369082,6,1,7-1T1 .mp4
527,payload,11,1,1,0.9548097848892212,114,1,7-1T1 .mp4
536,preamble,12,1,0,-0.00020544537983369082,6,0,7-1T1 .mp4
537,preamble,12,0,1,1.0127613544464111,114,0,7-1T1 .mp4
546,preamble,12,1,1,0.8397845029830933,6,1,7-1T1 .mp4
547,preamble,12,0,1,1.0237958431243896,114,0,7-1T1 .mp4
556,preamble,12,1,0,0.00023111306654755026,7,0,7-1T1 .mp4
557,preamble,12,0,0,0.0,113,1,7-1T1 .mp4
566,preamble,12,1,0,0.0014638848369941115,7,0,7-1T1 .mp4
567,preamble,12,0,0,-2.7391306502977386e-05,113,1,7-1T1 .mp4
576,payload,12,1,0,0.0014638848369941115,7,0,7-1T1 .mp4
577,payload,12,1,0,-2.727967148530297e-05,113,0,7-1T1 .mp4
586,preamble,13,0,0,0.0015550308162346482,8,1,7-1T1 .mp4
587,preamble,13,1,0,-5.740902270190418e-05,112,0,7-1T1 .mp4
596,preamble,13,0,0,0.0014124388108029962,8,1,7-1T1 .mp4
597,preamble,13,1,0,0.0,112,0,7-1T1 .mp4
606,preamble,13,0,1,0.9999307990074158,8,0,7-1T1 .mp4
607,preamble,13,1,1,1.0212514400482178,112,1,7-1T1 .mp4
616,payload,13,0,1,1.00388503074646,9,0,7-1T1 .mp4
617,payload,13,1,0,0.049718473106622696,111,0,7-1T1 .mp4
