bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
2,guard_or_pad,-1,0,1,0.008298516273498535,136,0,7-1T5.mp4
3,guard_or_pad,-1,0,1,0.016436224803328514,74,0,7-1T5.mp4
12,guard_or_pad,-1,0,0,1.023983120918274,137,1,7-1T5.mp4
13,guard_or_pad,-1,0,0,1.1171150207519531,73,1,7-1T5.mp4
22,preamble,0,1,0,0.9656800031661987,137,0,7-1T5.mp4
23,preamble,0,0,0,1.0116311311721802,73,1,7-1T5.mp4
32,preamble,0,1,0,1.0116888284683228,137,0,7-1T5.mp4
33,preamble,0,0,0,1.0631049871444702,73,1,7-1T5.mp4
42,preamble,0,1,0,0.970232367515564,138,0,7-1T5.mp4
43,preamble,0,0,0,1.0118000507354736,72,1,7-1T5.mp4
52,payload,0,1,0,0.9407987594604492,138,0,7-1T5.mp4
53,payload,0,0,0,0.9846283197402954,72,1,7-1T5.mp4
62,payload,0,0,1,0.0011711742263287306,138,0,7-1T5.mp4
63,preamble,1,1,1,0.003473767312243581,72,1,7-1T5.mp4
72,preamble,1,0,1,0.0013391344109550118,139,0,7-1T5.mp4
73,preamble,1,1,1,0.0034599951468408108,71,1,7-1T5.mp4
82,preamble,1,0,1,0.0013379473239183426,139,0,7-1T5.mp4
83,preamble,1,1,1,0.0034599951468408108,71,1,7-1T5.mp4
92,preamble,1,0,1,0.0007004537037573755,139,0,7-1T5.mp4
93,preamble,1,1,1,0.0034599951468408108,71,1,7-1T5.mp4
102,payload,1,0,1,0.0013965568505227566,140,0,7-1T5.mp4
103,payload,1,1,1,0.003309721127152443,70,1,7-1T5.mp4
112,preamble,2,1,0,0.9079066514968872,140,0,7-1T5.mp4
113,preamble,2,0,0,0.9875361919403076,70,1,7-1T5.mp4
122,preamble,2,1,0,0.9079066514968872,140,0,7-1T5.mp4
123,preamble,2,0,0,0.9875361919403076,70,1,7-1T5.mp4
132,preamble,2,1,0,0.9670825004577637,141,0,7-1T5.mp4
133,preamble,2,0,1,0.003541091922670603,69,0,7-1T5.mp4
