bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
620,payload,13,1,0,0.0005731073906645179,74,0,7-1T5.mp4
621,payload,13,0,0,-8.444621926173568e-05,136,1,7-1T5.mp4
630,preamble,14,1,0,0.0006581845227628946,74,0,7-1T5.mp4
631,preamble,14,0,0,0.0004254783852957189,136,1,7-1T5.mp4
640,preamble,14,1,0,0.0006335036596283317,75,0,7-1T5.mp4
641,preamble,14,0,0,-0.0002459695970173925,135,1,7-1T5.mp4
650,preamble,14,1,0,-0.0010103401727974415,75,0,7-1T5.mp4
651,preamble,14,0,0,-0.00013667374150827527,135,1,7-1T5.mp4
660,payload,14,1,0,-0.0016307230107486248,76,0,7-1T5.mp4
661,payload,14,0,0,-0.00023820892965886742,134,1,7-1T5.mp4
670,preamble,15,0,1,0.9809366464614868,76,0,7-1T5.mp4
671,preamble,15,1,1,1.0084073543548584,134,1,7-1T5.mp4
680,preamble,15,0,1,1.0141602754592896,77,0,7-1T5.mp4
681,preamble,15,1,1,1.0796087980270386,133,1,7-1T5.mp4
690,preamble,15,0,1,1.0098528861999512,77,0,7-1T5.mp4
691,preamble,15,1,1,1.042973518371582,133,1,7-1T5.mp4
700,payload,15,1,0,-0.0036845882423222065,77,0,7-1T5.mp4
701,payload,15,0,0,-0.007799675688147545,133,1,7-1T5.mp4
710,preamble,16,1,0,-0.003667576238512993,78,0,7-1T5.mp4
711,preamble,16,0,0,-0.006864074617624283,132,1,7-1T5.mp4
720,preamble,16,1,0,-0.003273801412433386,78,0,7-1T5.mp4
721,preamble,16,0,0,-0.007911093533039093,132,1,7-1T5.mp4
730,preamble,16,1,0,-0.003339362796396017,79,0,7-1T5.mp4
731,preamble,16,0,0,-0.007840605452656746,131,1,7-1T5.mp4
740,payload,16,1,0,-0.00351333268918097,79,0,7-1T5.mp4
741,payload,16,0,0,-0.007840605452656746,131,1,7-1T5.mp4
750,payload,16,0,1,0.9944181442260742,80,0,7-1T5.mp4
751,preamble,17,1,1,1.028172254562378,130,1,7-1T5.mp4
760,preamble,17,0,1,1.0096557140350342,80,0,7-1T5.mp4
761,preamble,17,1,1,1.06326425075531,130,1,7-1T5.mp4
770,preamble,17,0,1,1.0092096328735352,81,0,7-1T5.mp4
771,preamble,17,1,1,1.0557302236557007,129,1,7-1T5.mp4
780,preamble,17,0,1,0.9698398113250732,81,0,7-1T5.mp4
781,preamble,17,1,1,0.9907829761505127,129,1,7-1T5.mp4
790,payload,17,0,1,0.969912052154541,82,0,7-1T5.mp4
791,payload,17,1,1,0.9890525937080383,128,1,7-1T5.mp4
800,preamble,18,1,1,0.6640055179595947,82,1,7-1T5.mp4
801,preamble,18,0,0,0.00018080617883242667,128,1,7-1T5.mp4
810,preamble,18,1,0,0.36617302894592285,83,0,7-1T5.mp4
811,preamble,18,0,0,0.00019245821749791503,127,1,7-1T5.mp4
820,preamble,18,1,0,0.32882165908813477,83,0,7-1T5.mp4
821,preamble,18,0,0,0.00019245821749791503,127,1,7-1T5.mp4
830,payload,18,0,0,-0.003514171577990055,83,1,7-1T5.mp4
831,payload,18,0,0,0.00019245821749791503,127,1,7-1T5.mp4
