bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
1,guard_or_pad,-1,0,1,0.9381070733070374,107,0,7-1T6.mp4
4,guard_or_pad,-1,0,1,-0.001650855760090053,107,0,7-1T6.mp4
7,guard_or_pad,-1,0,0,-0.00275224051438272,107,1,7-1T6.mp4
11,guard_or_pad,-1,0,1,1.0014050006866455,107,0,7-1T6.mp4
14,guard_or_pad,-1,0,1,0.0314648412168026,107,0,7-1T6.mp4
17,guard_or_pad,-1,0,1,0.9923350811004639,92,0,7-1T6.mp4
18,guard_or_pad,-1,0,1,0.9719478487968445,15,0,7-1T6.mp4
21,preamble,0,0,1,0.9857969284057617,107,0,7-1T6.mp4
24,preamble,0,1,1,0.99793541431427,107,1,7-1T6.mp4
27,preamble,0,0,1,0.9974319934844971,65,0,7-1T6.mp4
28,preamble,0,1,1,0.9987576007843018,42,1,7-1T6.mp4
31,preamble,0,0,0,-0.014459539204835892,107,1,7-1T6.mp4
34,preamble,0,1,1,0.9665831327438354,107,1,7-1T6.mp4
37,preamble,0,0,1,0.9678612947463989,38,0,7-1T6.mp4
38,preamble,0,1,1,0.9657930731773376,69,1,7-1T6.mp4
41,preamble,0,0,1,0.05573948100209236,107,0,7-1T6.mp4
44,preamble,0,1,1,1.045501947402954,107,1,7-1T6.mp4
47,preamble,0,0,1,1.0394630432128906,12,0,7-1T6.mp4
48,preamble,0,1,1,1.0443531274795532,95,1,7-1T6.mp4
51,preamble,0,0,1,0.0017751642735674977,107,0,7-1T6.mp4
54,payload,0,1,1,0.9699414372444153,107,1,7-1T6.mp4
58,payload,0,1,1,0.9746557474136353,107,1,7-1T6.mp4
61,payload,0,1,1,0.9899038076400757,107,1,7-1T6.mp4
64,preamble,1,0,1,0.9379761815071106,107,0,7-1T6.mp4
68,preamble,1,0,1,0.019760996103286743,107,0,7-1T6.mp4
71,preamble,1,1,1,0.9703210592269897,107,1,7-1T6.mp4
74,preamble,1,0,0,-0.014525127597153187,107,1,7-1T6.mp4
78,preamble,1,0,0,-0.013872120529413223,107,1,7-1T6.mp4
81,preamble,1,1,1,0.9885339736938477,107,1,7-1T6.mp4
84,preamble,1,0,0,-0.013425433076918125,107,1,7-1T6.mp4
88,preamble,1,0,0,-0.013425433076918125,107,1,7-1T6.mp4
91,preamble,1,1,1,0.9872143864631653,107,1,7-1T6.mp4
94,preamble,1,0,0,-0.0042298343032598495,107,1,7-1T6.mp4
98,payload,1,1,1,0.968569815158844,107,1,7-1T6.mp4
101,payload,1,1,1,0.968569815158844,107,1,7-1T6.mp4
104,payload,1,1,1,0.0022283834405243397,107,1,7-1T6.mp4
108,preamble,2,1,1,0.0022283834405243397,107,1,7-1T6.mp4
111,preamble,2,0,1,0.9133861064910889,107,0,7-1T6.mp4
114,preamble,2,1,1,0.9133861064910889,107,1,7-1T6.mp4
118,preamble,2,1,1,0.006305780727416277,107,1,7-1T6.mp4
121,preamble,2,0,1,0.006305780727416277,107,0,7-1T6.mp4
124,preamble,2,1,1,0.9461147785186768,107,1,7-1T6.mp4
128,preamble,2,1,1,0.9461147785186768,107,1,7-1T6.mp4
131,preamble,2,0,1,1.159751296043396,107,0,7-1T6.mp4
134,preamble,2,1,1,1.159751296043396,107,1,7-1T6.mp4
138,payload,2,1,1,0.024432983249425888,107,1,7-1T6.mp4
141,payload,2,1,1,0.024432983249425888,107,1,7-1T6.mp4
144,payload,2,1,1,0.947530210018158,107,1,7-1T6.mp4
148,payload,2,0,1,0.947530210018158,107,0,7-1T6.mp4
151,preamble,3,1,1,0.0,107,1,7-1T6.mp4
154,preamble,3,0,1,0.0,107,0,7-1T6.mp4
158,preamble,3,0,1,0.9297778606414795,107,0,7-1T6.mp4
161,preamble,3,1,1,0.9297778606414795,107,1,7-1T6.mp4
164,preamble,3,0,1,0.9328466057777405,107,0,7-1T6.mp4
168,preamble,3,0,1,0.9328466057777405,107,0,7-1T6.mp4
171,preamble,3,1,1,0.020429106429219246,107,1,7-1T6.mp4
174,preamble,3,0,1,0.020429106429219246,107,0,7-1T6.mp4
178,preamble,3,0,1,1.0129437446594238,107,0,7-1T6.mp4
181,payload,3,1,1,1.0129437446594238,107,1,7-1T6.mp4
184,payload,3,1,1,0.9633767604827881,107,1,7-1T6.mp4
188,payload,3,0,1,0.9633767604827881,107,0,7-1T6.mp4
191,payload,3,0,1,0.0,107,0,7-1T6.mp4
194,preamble,4,1,1,0.0,105,1,7-1T6.mp4
195,preamble,4,0,0,-0.017344016581773758,2,1,7-1T6.mp4
198,preamble,4,1,1,0.001994480611756444,107,1,7-1T6.mp4
201,preamble,4,0,1,0.001994480611756444,107,0,7-1T6.mp4
204,preamble,4,1,1,0.00160702015273273,78,1,7-1T6.mp4
205,preamble,4,0,1,0.5918524265289307,29,0,7-1T6.mp4
208,preamble,4,1,1,0.0017635226249694824,107,1,7-1T6.mp4
211,preamble,4,0,1,1.0866966247558594,107,0,7-1T6.mp4
