message_index,expected_payload,decoded_payload,payload_bits_scored,payload_bit_errors,fully_scored,message_correct,video
0,10110010110,???????????,0,0,0,0,7-1T6.mp4
1,10110010110,???????????,0,0,0,0,7-1T6.mp4
2,10110010110,0???0??1??1,4,3,0,0,7-1T6.mp4
3,10110010110,?0??0??11??,4,1,0,0,7-1T6.mp4
4,10110010110,?0??11??1??,4,2,0,0,7-1T6.mp4
5,10110010110,??1??1??1??,3,1,0,0,7-1T6.mp4
6,10110010110,??1??1???0?,3,2,0,0,7-1T6.mp4
7,10110010110,??11??1??0?,4,1,0,0,7-1T6.mp4
8,10110010110,0??1??1??00,5,2,0,0,7-1T6.mp4
9,10110010110,0??0???1??0,4,3,0,0,7-1T6.mp4
10,10110010110,1???0??1??0,4,1,0,0,7-1T6.mp4
11,10110010110,?1??0??00??,4,2,0,0,7-1T6.mp4
12,10110010110,?1??00??0??,4,2,0,0,7-1T6.mp4
13,10110010110,?01??0??0??,4,1,0,0,7-1T6.mp4
14,10110010110,??0??0???0?,3,2,0,0,7-1T6.mp4
15,10110010110,??0???1??1?,3,1,0,0,7-1T6.mp4
16,10110010110,1??0??0??11,5,3,0,0,7-1T6.mp4
17,10110010110,0??0??11??1,5,4,0,0,7-1T6.mp4
18,10110010110,1???1??1??0,4,2,0,0,7-1T6.mp4
19,10110010110,?1??1??0???,3,2,0,0,7-1T6.mp4
20,10110010110,?0??11??1??,4,2,0,0,7-1T6.mp4
21,10110010110,?11??1??1??,4,2,0,0,7-1T6.mp4
