bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
456,preamble,10,1,1,-0.009251170791685581,107,1,7-1T6.mp4
459,preamble,10,0,1,-0.009251170791685581,107,0,7-1T6.mp4
462,preamble,10,1,0,1.062442421913147,97,0,7-1T6.mp4
463,preamble,10,0,0,1.0368702411651611,10,1,7-1T6.mp4
466,preamble,10,1,1,-0.009251170791685581,107,1,7-1T6.mp4
469,preamble,10,0,1,-0.009251170791685581,107,0,7-1T6.mp4
472,preamble,10,1,0,1.007955551147461,90,0,7-1T6.mp4
473,preamble,10,0,0,1.0097227096557617,17,1,7-1T6.mp4
476,preamble,10,1,1,0.0012175048468634486,107,1,7-1T6.mp4
479,preamble,10,0,1,0.0009174138540402055,107,0,7-1T6.mp4
482,payload,10,1,0,0.9452762007713318,82,0,7-1T6.mp4
483,payload,10,0,0,0.9467868208885193,25,1,7-1T6.mp4
486,payload,10,0,1,0.0012803965946659446,107,0,7-1T6.mp4
489,payload,10,0,0,0.9359949827194214,107,1,7-1T6.mp4
492,payload,10,0,1,0.0014835975598543882,75,0,7-1T6.mp4
493,preamble,11,1,1,0.0010771754896268249,32,1,7-1T6.mp4
496,preamble,11,0,0,0.966578483581543,107,1,7-1T6.mp4
499,preamble,11,1,0,0.9680109620094299,107,0,7-1T6.mp4
502,preamble,11,0,1,0.06734199076890945,67,0,7-1T6.mp4
503,preamble,11,1,1,0.019802525639533997,40,1,7-1T6.mp4
506,preamble,11,0,0,0.9635098576545715,107,1,7-1T6.mp4
509,preamble,11,1,0,0.9647879600524902,107,0,7-1T6.mp4
512,preamble,11,0,1,-0.013794760219752789,60,0,7-1T6.mp4
513,preamble,11,1,1,-0.010319196619093418,47,1,7-1T6.mp4
516,preamble,11,0,0,0.860316812992096,107,1,7-1T6.mp4
519,preamble,11,1,0,0.8570292592048645,107,0,7-1T6.mp4
522,preamble,11,0,1,0.03143159672617912,52,0,7-1T6.mp4
523,preamble,11,1,1,0.02027866616845131,55,1,7-1T6.mp4
526,payload,11,0,0,0.8901112079620361,107,1,7-1T6.mp4
529,payload,11,0,0,0.9667437672615051,107,1,7-1T6.mp4
532,payload,11,0,0,0.9337777495384216,45,1,7-1T6.mp4
533,payload,11,1,0,0.9583930373191833,62,0,7-1T6.mp4
536,preamble,12,1,1,0.009768146090209484,107,1,7-1T6.mp4
539,preamble,12,0,1,0.01392910722643137,107,0,7-1T6.mp4
542,preamble,12,1,0,0.9348607063293457,38,0,7-1T6.mp4
543,preamble,12,0,0,0.9620844125747681,69,1,7-1T6.mp4
546,preamble,12,1,1,-0.003157894592732191,107,1,7-1T6.mp4
549,preamble,12,0,0,0.9191839694976807,107,1,7-1T6.mp4
552,preamble,12,1,0,1.0373036861419678,30,0,7-1T6.mp4
553,preamble,12,0,0,1.0263001918792725,77,1,7-1T6.mp4
556,preamble,12,1,1,0.018947366625070572,107,1,7-1T6.mp4
559,preamble,12,0,0,0.9696983695030212,107,1,7-1T6.mp4
562,preamble,12,1,0,0.9714818596839905,23,0,7-1T6.mp4
563,preamble,12,0,0,0.9747498631477356,84,1,7-1T6.mp4
566,preamble,12,1,1,-0.008717603981494904,107,1,7-1T6.mp4
569,payload,12,0,0,0.9398236274719238,107,1,7-1T6.mp4
572,payload,12,0,0,0.9121825098991394,15,1,7-1T6.mp4
573,payload,12,0,0,0.9437071681022644,92,1,7-1T6.mp4
576,payload,12,1,0,0.9866144061088562,107,0,7-1T6.mp4
579,preamble,13,1,1,-0.0006864814786240458,107,1,7-1T6.mp4
582,preamble,13,0,1,0.035994816571474075,8,0,7-1T6.mp4
583,preamble,13,1,1,-0.0015899591380730271,99,1,7-1T6.mp4
586,preamble,13,0,0,1.0490942001342773,107,1,7-1T6.mp4
589,preamble,13,1,1,-0.0017069348832592368,107,1,7-1T6.mp4
593,preamble,13,1,1,-0.0039044623263180256,107,1,7-1T6.mp4
596,preamble,13,0,0,0.9381070733070374,107,1,7-1T6.mp4
599,preamble,13,1,1,-0.001650855760090053,107,1,7-1T6.mp4
603,preamble,13,1,1,-0.00275224051438272,107,1,7-1T6.mp4
606,preamble,13,0,0,1.0014050006866455,107,1,7-1T6.mp4
609,preamble,13,1,1,0.0314648412168026,107,1,7-1T6.mp4
613,payload,13,1,0,0.9908180236816406,107,0,7-1T6.mp4
616,payload,13,0,0,0.9857969284057617,107,1,7-1T6.mp4
619,payload,13,1,0,0.99793541431427,107,0,7-1T6.mp4
623,preamble,14,0,0,0.99793541431427,107,1,7-1T6.mp4
626,preamble,14,1,1,-0.014459539204835892,107,1,7-1T6.mp4
629,preamble,14,0,0,0.9665831327438354,107,1,7-1T6.mp4
633,preamble,14,0,0,0.9668682813644409,107,1,7-1T6.mp4
636,preamble,14,1,1,0.05573948100209236,107,1,7-1T6.mp4
639,preamble,14,0,0,1.046963095664978,101,1,7-1T6.mp4
640,preamble,14,1,0,1.0386301279067993,6,0,7-1T6.mp4
643,preamble,14,0,0,1.0426669120788574,107,1,7-1T6.mp4
646,preamble,14,1,1,0.0017751642735674977,107,1,7-1T6.mp4
