bit_index,kind,message_index,expected_bit,decoded_bit,median_value,sample_count,correct,video
8,guard_or_pad,-1,0,1,0.6177117824554443,240,0,6-29T2.mp4
18,guard_or_pad,-1,0,1,0.6177117824554443,240,0,6-29T2.mp4
28,preamble,0,1,1,0.33145105838775635,240,1,6-29T2.mp4
38,preamble,0,1,1,0.33145105838775635,240,1,6-29T2.mp4
48,preamble,0,1,0,1.0040886402130127,240,0,6-29T2.mp4
58,payload,0,1,0,1.0040886402130127,240,0,6-29T2.mp4
68,preamble,1,0,0,0.9853978157043457,240,1,6-29T2.mp4
78,preamble,1,0,0,0.9853978157043457,240,1,6-29T2.mp4
88,preamble,1,0,0,0.8631683588027954,240,1,6-29T2.mp4
98,payload,1,1,0,0.8631683588027954,240,0,6-29T2.mp4
108,preamble,2,1,1,0.45839184522628784,240,1,6-29T2.mp4
118,preamble,2,1,1,0.4613485634326935,236,1,6-29T2.mp4
119,preamble,2,0,1,0.1630920171737671,4,0,6-29T2.mp4
128,preamble,2,1,1,0.28372400999069214,230,1,6-29T2.mp4
129,preamble,2,0,1,0.6709040403366089,10,0,6-29T2.mp4
138,payload,2,1,1,0.27249860763549805,223,1,6-29T2.mp4
139,payload,2,0,1,0.6753230690956116,17,0,6-29T2.mp4
148,payload,2,0,1,-0.13743682205677032,217,0,6-29T2.mp4
149,preamble,3,1,1,0.4307464361190796,23,1,6-29T2.mp4
158,preamble,3,0,1,-0.1403919756412506,211,0,6-29T2.mp4
159,preamble,3,1,1,0.4236970543861389,29,1,6-29T2.mp4
168,preamble,3,0,1,-0.15850618481636047,205,0,6-29T2.mp4
169,preamble,3,1,1,-0.030020155012607574,35,1,6-29T2.mp4
178,preamble,3,0,1,-0.16174881160259247,199,0,6-29T2.mp4
179,preamble,3,1,1,-0.052533164620399475,41,1,6-29T2.mp4
188,payload,3,0,0,0.8283045291900635,193,1,6-29T2.mp4
189,payload,3,1,0,0.9940304160118103,47,0,6-29T2.mp4
198,preamble,4,1,0,0.8263213634490967,186,0,6-29T2.mp4
199,preamble,4,0,0,0.9919697046279907,54,1,6-29T2.mp4
208,preamble,4,1,1,0.59601891040802,180,1,6-29T2.mp4
209,preamble,4,0,0,0.8860893249511719,60,1,6-29T2.mp4
218,preamble,4,1,1,0.5938097834587097,174,1,6-29T2.mp4
219,preamble,4,0,0,0.8714026212692261,66,1,6-29T2.mp4
228,payload,4,0,0,0.8427248001098633,168,1,6-29T2.mp4
229,payload,4,0,1,0.6433418393135071,72,0,6-29T2.mp4
238,preamble,5,0,0,0.8464343547821045,162,1,6-29T2.mp4
239,preamble,5,1,1,0.6482601165771484,78,1,6-29T2.mp4
248,preamble,5,0,0,0.9726827144622803,156,1,6-29T2.mp4
249,preamble,5,1,0,0.8701735734939575,84,0,6-29T2.mp4
258,preamble,5,0,0,0.9833306670188904,150,1,6-29T2.mp4
259,preamble,5,1,0,0.8712199926376343,90,0,6-29T2.mp4
268,payload,5,0,1,-0.11480429768562317,143,0,6-29T2.mp4
269,payload,5,1,1,-0.14038990437984467,97,1,6-29T2.mp4
278,preamble,6,1,1,-0.09974604099988937,137,1,6-29T2.mp4
279,preamble,6,0,1,-0.14447082579135895,103,0,6-29T2.mp4
288,preamble,6,1,1,0.39609935879707336,131,1,6-29T2.mp4
289,preamble,6,0,1,0.028025804087519646,109,0,6-29T2.mp4
298,preamble,6,1,1,0.4025610089302063,125,1,6-29T2.mp4
299,preamble,6,0,1,0.03132355213165283,115,0,6-29T2.mp4
308,preamble,6,1,1,0.4722038507461548,119,1,6-29T2.mp4
309,preamble,6,0,0,0.75776606798172,121,1,6-29T2.mp4
318,payload,6,1,1,0.46699148416519165,112,1,6-29T2.mp4
319,payload,6,1,0,0.7534947395324707,128,0,6-29T2.mp4
328,preamble,7,0,1,0.11349868029356003,106,0,6-29T2.mp4
329,preamble,7,1,1,0.5333552956581116,134,1,6-29T2.mp4
338,preamble,7,0,1,0.08655860275030136,100,0,6-29T2.mp4
339,preamble,7,1,1,0.5219446420669556,140,1,6-29T2.mp4
348,preamble,7,0,0,1.0096986293792725,94,1,6-29T2.mp4
349,preamble,7,1,0,0.9319477081298828,146,0,6-29T2.mp4
358,payload,7,0,0,1.0102121829986572,88,1,6-29T2.mp4
359,payload,7,1,0,0.9358023405075073,152,0,6-29T2.mp4
368,preamble,8,1,0,0.951357901096344,82,0,6-29T2.mp4
369,preamble,8,0,0,1.0008727312088013,158,1,6-29T2.mp4
378,preamble,8,1,0,0.944094181060791,75,0,6-29T2.mp4
379,preamble,8,0,0,0.9998483061790466,165,1,6-29T2.mp4
388,preamble,8,1,0,1.0226492881774902,69,0,6-29T2.mp4
389,preamble,8,0,0,1.0017242431640625,171,1,6-29T2.mp4
398,payload,8,1,0,1.0246256589889526,63,0,6-29T2.mp4
399,payload,8,1,0,1.001872181892395,177,0,6-29T2.mp4
408,preamble,9,0,0,0.8043814301490784,57,1,6-29T2.mp4
409,preamble,9,1,1,0.4952074885368347,183,1,6-29T2.mp4
418,preamble,9,0,0,0.8074134588241577,51,1,6-29T2.mp4
419,preamble,9,1,1,0.49920278787612915,189,1,6-29T2.mp4
428,preamble,9,0,0,0.9458270072937012,45,1,6-29T2.mp4
429,preamble,9,1,1,0.6932089328765869,195,1,6-29T2.mp4
438,preamble,9,0,0,0.9455543756484985,38,1,6-29T2.mp4
439,payload,9,1,1,0.6987640857696533,202,1,6-29T2.mp4
448,payload,9,1,1,-0.14609692990779877,32,1,6-29T2.mp4
449,payload,9,0,1,-0.14360609650611877,208,0,6-29T2.mp4
458,preamble,10,1,1,-0.14609692990779877,26,1,6-29T2.mp4
459,preamble,10,0,1,-0.14439141750335693,214,0,6-29T2.mp4
468,preamble,10,1,0,0.8173955678939819,20,0,6-29T2.mp4
469,preamble,10,0,0,0.9822180271148682,220,1,6-29T2.mp4
478,preamble,10,1,0,0.8168633580207825,14,0,6-29T2.mp4
479,preamble,10,0,0,0.9815336465835571,226,1,6-29T2.mp4
488,payload,10,1,1,0.5543950796127319,7,1,6-29T2.mp4
489,payload,10,0,0,0.761313796043396,233,1,6-29T2.mp4
498,preamble,11,0,1,0.5325759053230286,1,0,6-29T2.mp4
499,preamble,11,1,0,0.7581050992012024,239,0,6-29T2.mp4
509,preamble,11,1,1,0.5640852451324463,240,1,6-29T2.mp4
519,preamble,11,1,1,0.5640852451324463,240,1,6-29T2.mp4
529,payload,11,0,0,0.866676926612854,240,1,6-29T2.mp4
539,preamble,12,0,0,0.866676926612854,240,1,6-29T2.mp4
549,preamble,12,0,0,0.976041316986084,240,1,6-29T2.mp4
559,preamble,12,0,0,0.976041316986084,240,1,6-29T2.mp4
569,payload,12,0,1,-0.14812186360359192,240,0,6-29T2.mp4
579,preamble,13,1,1,-0.14812186360359192,240,1,6-29T2.mp4
589,preamble,13,1,1,-0.15817537903785706,240,1,6-29T2.mp4
