trial_id,sensor_type,modulation,frequency_hz,actual_frequency_hz,lux,lighting_source,visibility_condition,scenario,distance_cm,angle_deg,bits_transmitted,bits_scored,bit_errors,active_start_s,active_end_s,capture_file,decode_log_file,total_events,raw_duration_s,active_duration_s,event_rate_per_s,max_event_gap_ms,long_event_gap_count,long_event_gap_fraction,notes,score_fraction,ber,correct_bits,frequency_error_fraction
s33_evk4_ook_300hz_blue_duty_75_t1,EVK4,OOK,300,299.651,530,artificial_room,LOS,tx_blue_duty_75_percent,50,0,748,748,227,3.25,13.25,captures/3.3/s33_adjusting_duty_cycle/75_percent_T1.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,68370176,13.8918,10,6.83702e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=750 PWM count.",1,0.303476,521,0.00116475
s33_evk4_ook_300hz_blue_duty_75_t2,EVK4,OOK,300,299.677,530,artificial_room,LOS,tx_blue_duty_75_percent,50,0,748,748,219,3.25,13.25,captures/3.3/s33_adjusting_duty_cycle/75_percent_T2.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,68362528,14.2196,10,6.83625e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=750 PWM count.",1,0.292781,529,0.00107658
s33_evk4_ook_300hz_blue_duty_75_t3,EVK4,OOK,300,299.713,530,artificial_room,LOS,tx_blue_duty_75_percent,50,0,748,748,222,2.5,12.5,captures/3.3/s33_adjusting_duty_cycle/75_percent_T3.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,66234176,13.788,10,6.62342e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=750 PWM count.",1,0.296791,526,0.000955662
s33_evk4_ook_300hz_blue_duty_50_t1,EVK4,OOK,300,299.603,530,artificial_room,LOS,tx_blue_duty_50_percent,50,0,748,748,245,3.35,13.35,captures/3.3/s33_adjusting_duty_cycle/50_percent_T1.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,66156043,14.2518,10,6.6156e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=500 PWM count.",1,0.32754,503,0.00132451
s33_evk4_ook_300hz_blue_duty_50_t2,EVK4,OOK,300,299.73,530,artificial_room,LOS,tx_blue_duty_50_percent,50,0,748,748,202,3.2,13.2,captures/3.3/s33_adjusting_duty_cycle/50_percent_T2.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,66164158,14.1039,10,6.61642e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=500 PWM count.",1,0.270053,546,0.000900959
s33_evk4_ook_300hz_blue_duty_50_t3,EVK4,OOK,300,299.733,530,artificial_room,LOS,tx_blue_duty_50_percent,50,0,748,748,219,2.7,12.7,captures/3.3/s33_adjusting_duty_cycle/50_percent_T3.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,61088234,14.436,10,6.10882e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=500 PWM count.",1,0.292781,529,0.000891247
s33_evk4_ook_300hz_blue_duty_25_t1,EVK4,OOK,300,299.664,530,artificial_room,LOS,tx_blue_duty_25_percent,50,0,748,748,183,3.2,13.2,captures/3.3/s33_adjusting_duty_cycle/25_percent_T1.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,56096322,14.096,10,5.60963e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=250 PWM count.",1,0.244652,565,0.00112145
s33_evk4_ook_300hz_blue_duty_25_t2,EVK4,OOK,300,299.695,530,artificial_room,LOS,tx_blue_duty_25_percent,50,0,748,748,175,3.2,13.2,captures/3.3/s33_adjusting_duty_cycle/25_percent_T2.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,56086720,13.852,10,5608672,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=250 PWM count.",1,0.233957,573,0.00101604
s33_evk4_ook_300hz_blue_duty_25_t3,EVK4,OOK,300,299.707,530,artificial_room,LOS,tx_blue_duty_25_percent,50,0,748,748,190,3.1,13.1,captures/3.3/s33_adjusting_duty_cycle/25_percent_T3.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,56069140,13.9319,10,5606914,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=250 PWM count.",1,0.254011,558,0.00097656
s33_evk4_ook_300hz_blue_duty_100_t1,EVK4,OOK,300,303.134,530,artificial_room,LOS,tx_blue_duty_100_percent,50,0,748,748,0,3.3,13.3,captures/3.3/s33_adjusting_duty_cycle/100_percent_T1.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,70597726,14.232,10,7.05977e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=1000 PWM count.",1,0,748,0.0104466
s33_evk4_ook_300hz_blue_duty_100_t2,EVK4,OOK,300,303.1,530,artificial_room,LOS,tx_blue_duty_100_percent,50,0,748,748,0,3.15,13.15,captures/3.3/s33_adjusting_duty_cycle/100_percent_T2.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,70623739,14.0358,10,7.06237e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=1000 PWM count.",1,0,748,0.0103333
s33_evk4_ook_300hz_blue_duty_100_t3,EVK4,OOK,300,303.14,530,artificial_room,LOS,tx_blue_duty_100_percent,50,0,748,748,0,3.15,13.15,captures/3.3/s33_adjusting_duty_cycle/100_percent_T3.raw,data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv,70599246,13.7239,10,7.05992e+06,,0,,"Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=1000 PWM count.",1,0,748,0.0104666
