"trial_id","duty_cycle_percent","tx_blue_pwm_count","tx_blue_duty_fraction","trial_number","raw_file","frequency_hz","symbol_rate_hz","decode_rate_hz","n_symbols_scored","n_bit_errors","ber","n_messages","n_correct_messages","mar","sync_preamble_ber","event_rate_per_s","analysis_start_s","analysis_end_s","roi_x0","roi_y0","roi_x1","roi_y1"
"s33_duty_100_percent_t1","100","1000","1","1","100_percent_T1.raw","300","303.133973809882","303.133973809882","748","0","0","68","68","1","0","7059772.6","3.3","13.3","544","320","672","448"
"s33_duty_100_percent_t2","100","1000","1","2","100_percent_T2.raw","300","303.1","303.1","748","0","0","68","68","1","0","7062373.9","3.15","13.15","544","320","672","448"
"s33_duty_100_percent_t3","100","1000","1","3","100_percent_T3.raw","300","303.139977516144","303.139977516144","748","0","0","68","68","1","0","7059924.6","3.15","13.15","544","320","672","448"
"s33_duty_75_percent_t1","75","750","0.75","1","75_percent_T1.raw","300","299.650574904518","299.650574904518","748","227","0.303475935828877","68","20","0.294117647058824","0.272977941176471","6837017.6","3.25","13.25","544","320","672","448"
"s33_duty_75_percent_t2","75","750","0.75","2","75_percent_T2.raw","300","299.677027326117","299.677027326117","748","219","0.292780748663102","68","21","0.308823529411765","0.262408088235294","6836252.8","3.25","13.25","544","320","672","448"
"s33_duty_75_percent_t3","75","750","0.75","3","75_percent_T3.raw","300","299.713301428876","299.713301428876","748","222","0.296791443850267","68","17","0.25","0.238051470588235","6623417.6","2.5","12.5","544","320","672","448"
"s33_duty_50_percent_t1","50","500","0.5","1","50_percent_T1.raw","300","299.602648281336","299.602648281336","748","245","0.327540106951872","68","19","0.279411764705882","0.291360294117647","6615604.3","3.35","13.35","544","320","672","448"
"s33_duty_50_percent_t2","50","500","0.5","2","50_percent_T2.raw","300","299.729712448328","299.729712448328","748","202","0.270053475935829","68","24","0.352941176470588","0.318933823529412","6616415.8","3.2","13.2","544","320","672","448"
"s33_duty_50_percent_t3","50","500","0.5","3","50_percent_T3.raw","300","299.732626036939","299.732626036939","748","219","0.292780748663102","68","25","0.367647058823529","0.3203125","6108823.4","2.7","12.7","544","320","672","448"
"s33_duty_25_percent_t1","25","250","0.25","1","25_percent_T1.raw","300","299.663564284548","299.663564284548","748","183","0.244652406417112","68","32","0.470588235294118","0.267922794117647","5609632.2","3.2","13.2","544","384","672","512"
"s33_duty_25_percent_t2","25","250","0.25","2","25_percent_T2.raw","300","299.695186703988","299.695186703988","748","175","0.233957219251337","68","34","0.5","0.245404411764706","5608672","3.2","13.2","544","384","672","512"
"s33_duty_25_percent_t3","25","250","0.25","3","25_percent_T3.raw","300","299.707032094455","299.707032094455","748","190","0.254010695187166","68","32","0.470588235294118","0.253676470588235","5606914","3.1","13.1","544","384","672","512"
