"trial_id","status","sensor_type","modulation","frequency_hz","actual_frequency_hz","lux","lighting_source","visibility_condition","scenario","distance_cm","angle_deg","bits_transmitted","bits_scored","bit_errors","active_start_s","active_end_s","capture_file","decode_log_file","total_events","raw_duration_s","active_duration_s","event_rate_per_s","max_event_gap_ms","long_event_gap_count","long_event_gap_fraction","notes"
"s33_evk4_ook_300hz_blue_duty_75_t1","ready","EVK4","OOK","300","299.650574904518","530","artificial_room","LOS","tx_blue_duty_75_percent","50","0","748","748","227","3.25","13.25","captures/3.3/s33_adjusting_duty_cycle/75_percent_T1.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","68370176","13.891834","10","6837017.6","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=750 PWM count."
"s33_evk4_ook_300hz_blue_duty_75_t2","ready","EVK4","OOK","300","299.677027326117","530","artificial_room","LOS","tx_blue_duty_75_percent","50","0","748","748","219","3.25","13.25","captures/3.3/s33_adjusting_duty_cycle/75_percent_T2.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","68362528","14.21963","10","6836252.8","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=750 PWM count."
"s33_evk4_ook_300hz_blue_duty_75_t3","ready","EVK4","OOK","300","299.713301428876","530","artificial_room","LOS","tx_blue_duty_75_percent","50","0","748","748","222","2.5","12.5","captures/3.3/s33_adjusting_duty_cycle/75_percent_T3.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","66234176","13.787976","10","6623417.6","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=750 PWM count."
"s33_evk4_ook_300hz_blue_duty_50_t1","ready","EVK4","OOK","300","299.602648281336","530","artificial_room","LOS","tx_blue_duty_50_percent","50","0","748","748","245","3.35","13.35","captures/3.3/s33_adjusting_duty_cycle/50_percent_T1.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","66156043","14.251809","10","6615604.3","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=500 PWM count."
"s33_evk4_ook_300hz_blue_duty_50_t2","ready","EVK4","OOK","300","299.729712448328","530","artificial_room","LOS","tx_blue_duty_50_percent","50","0","748","748","202","3.2","13.2","captures/3.3/s33_adjusting_duty_cycle/50_percent_T2.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","66164158","14.103923","10","6616415.8","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=500 PWM count."
"s33_evk4_ook_300hz_blue_duty_50_t3","ready","EVK4","OOK","300","299.732626036939","530","artificial_room","LOS","tx_blue_duty_50_percent","50","0","748","748","219","2.7","12.7","captures/3.3/s33_adjusting_duty_cycle/50_percent_T3.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","61088234","14.435969","10","6108823.4","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=500 PWM count."
"s33_evk4_ook_300hz_blue_duty_25_t1","ready","EVK4","OOK","300","299.663564284548","530","artificial_room","LOS","tx_blue_duty_25_percent","50","0","748","748","183","3.2","13.2","captures/3.3/s33_adjusting_duty_cycle/25_percent_T1.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","56096322","14.095982","10","5609632.2","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=250 PWM count."
"s33_evk4_ook_300hz_blue_duty_25_t2","ready","EVK4","OOK","300","299.695186703988","530","artificial_room","LOS","tx_blue_duty_25_percent","50","0","748","748","175","3.2","13.2","captures/3.3/s33_adjusting_duty_cycle/25_percent_T2.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","56086720","13.851961","10","5608672","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=250 PWM count."
"s33_evk4_ook_300hz_blue_duty_25_t3","ready","EVK4","OOK","300","299.707032094455","530","artificial_room","LOS","tx_blue_duty_25_percent","50","0","748","748","190","3.1","13.1","captures/3.3/s33_adjusting_duty_cycle/25_percent_T3.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","56069140","13.931902","10","5606914","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=250 PWM count."
"s33_evk4_ook_300hz_blue_duty_100_t1","ready","EVK4","OOK","300","303.133973809882","530","artificial_room","LOS","tx_blue_duty_100_percent","50","0","748","748","0","3.3","13.3","captures/3.3/s33_adjusting_duty_cycle/100_percent_T1.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","70597726","14.231986","10","7059772.6","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=1000 PWM count."
"s33_evk4_ook_300hz_blue_duty_100_t2","ready","EVK4","OOK","300","303.1","530","artificial_room","LOS","tx_blue_duty_100_percent","50","0","748","748","0","3.15","13.15","captures/3.3/s33_adjusting_duty_cycle/100_percent_T2.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","70623739","14.03577","10","7062373.9","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=1000 PWM count."
"s33_evk4_ook_300hz_blue_duty_100_t3","ready","EVK4","OOK","300","303.139977516144","530","artificial_room","LOS","tx_blue_duty_100_percent","50","0","748","748","0","3.15","13.15","captures/3.3/s33_adjusting_duty_cycle/100_percent_T3.raw","data/3.1/replication/s33_adjusting_duty_cycle_300hz_summary.csv","70599246","13.723925","10","7059924.6","","","","Blue-channel transmitter duty-cycle sweep; fixed setup 50 cm, 530 lux, 300 Hz; BLUE11=1000 PWM count."
