trial_id,sensor_type,modulation,frequency_hz,actual_frequency_hz,lux,lighting_source,visibility_condition,scenario,distance_cm,angle_deg,bits_transmitted,bits_scored,bit_errors,active_start_s,active_end_s,capture_file,decode_log_file,total_events,raw_duration_s,active_duration_s,event_rate_per_s,max_event_gap_ms,long_event_gap_count,long_event_gap_fraction,notes,score_fraction,ber,correct_bits,frequency_error_fraction
s33_evk4_ook_300hz_lux500_los_t1,EVK4,OOK,300,303.103,500,artificial_room,LOS,controlled_baseline,50,0,748,748,21,2.85,12.85,captures/3.2/s32_energy_evk4_ook_synced_300hz_50cm_20260520/s32_energy_evk4_ook_synced_300hz_50cm_t1.raw,data/3.1/replication/s32_energy_evk4_ook_synced_300hz_50cm_decode_summary.csv,72984949,15.0358,10,7.29849e+06,,0,,Seeded from Section 3.2 300 Hz receiver-only energy capture; f/4; synced-transition decoder.,1,0.0280749,727,0.0103434
s33_evk4_ook_300hz_lux500_los_t2,EVK4,OOK,300,303.151,500,artificial_room,LOS,controlled_baseline,50,0,748,748,14,2.35,12.35,captures/3.2/s32_energy_evk4_ook_synced_300hz_50cm_20260520/s32_energy_evk4_ook_synced_300hz_50cm_t2.raw,data/3.1/replication/s32_energy_evk4_ook_synced_300hz_50cm_decode_summary.csv,72127573,14.0039,10,7.21276e+06,,0,,Seeded from Section 3.2 300 Hz receiver-only energy capture; f/4; synced-transition decoder.,1,0.0187166,734,0.0105028
s33_evk4_ook_300hz_lux500_los_t3,EVK4,OOK,300,303.152,500,artificial_room,LOS,controlled_baseline,50,0,748,748,0,2.4,12.4,captures/3.2/s32_energy_evk4_ook_synced_300hz_50cm_20260520/s32_energy_evk4_ook_synced_300hz_50cm_t3.raw,data/3.1/replication/s32_energy_evk4_ook_synced_300hz_50cm_decode_summary.csv,72743723,14.148,10,7.27437e+06,,0,,Seeded from Section 3.2 300 Hz receiver-only energy capture; f/4; synced-transition decoder.,1,0,748,0.0105063
s33_evk4_ook_300hz_lux116_los_t1,EVK4,OOK,300,302.862,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,184,3.2,13.2,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T1.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,95049342,14.3679,10,9.50493e+06,,0,,Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder.,1,0.245989,564,0.00954158
s33_evk4_ook_300hz_lux116_los_t2,EVK4,OOK,300,302.98,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,160,3.1,13.1,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T2.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,95023074,14.2476,10,9.50231e+06,,0,,Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder.,1,0.213904,588,0.00993418
s33_evk4_ook_300hz_lux116_los_t3,EVK4,OOK,300,303.015,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,187,3.7,13.7,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T3.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,95000969,14.5238,10,9.5001e+06,,0,,Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder.,1,0.25,561,0.0100489
s33_evk4_ook_300hz_lux116_los_t4,EVK4,OOK,300,302.959,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,155,3.35,13.35,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T4.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,94885153,14.1199,10,9.48852e+06,,0,,Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder.,1,0.207219,593,0.009864
s33_evk4_ook_300hz_lux237_los_t1,EVK4,OOK,300,302.981,237,artificial_room,LOS,mid_lux_los,50,0,748,748,52,3.15,13.15,captures/3.3/s33_ook_300hz_50cm_mid_lux_los_lux237/lux237T1.raw,data/3.1/replication/s33_ook_300hz_50cm_mid_lux_los_lux237_decode_summary.csv,84751992,14.0558,10,8.4752e+06,,0,,Mid-lux clean LOS trial at measured 237 lux using normal room lights about 10 ft overhead; no phone light; f/4; synced-transition decoder.,1,0.0695187,696,0.00993779
s33_evk4_ook_300hz_lux237_los_t2,EVK4,OOK,300,303.026,237,artificial_room,LOS,mid_lux_los,50,0,748,748,109,3.15,13.05,captures/3.3/s33_ook_300hz_50cm_mid_lux_los_lux237/lux237T2.raw,data/3.1/replication/s33_ook_300hz_50cm_mid_lux_los_lux237_decode_summary.csv,84831670,14.3799,9.9,8.56886e+06,,0,,Mid-lux clean LOS trial at measured 237 lux using normal room lights about 10 ft overhead; no phone light; f/4; synced-transition decoder.,1,0.145722,639,0.0100856
s33_evk4_ook_300hz_lux237_los_t3,EVK4,OOK,300,302.979,237,artificial_room,LOS,mid_lux_los,50,0,748,748,83,3.15,13,captures/3.3/s33_ook_300hz_50cm_mid_lux_los_lux237/lux237T3.raw,data/3.1/replication/s33_ook_300hz_50cm_mid_lux_los_lux237_decode_summary.csv,84838301,13.82,9.85,8.61303e+06,,0,,Mid-lux clean LOS trial at measured 237 lux using normal room lights about 10 ft overhead; no phone light; f/4; synced-transition decoder.,1,0.110963,665,0.00992848
