trial_id,status,sensor_type,modulation,frequency_hz,actual_frequency_hz,lux,lighting_source,visibility_condition,scenario,distance_cm,angle_deg,bits_transmitted,bits_scored,bit_errors,active_start_s,active_end_s,capture_file,decode_log_file,total_events,raw_duration_s,active_duration_s,event_rate_per_s,max_event_gap_ms,long_event_gap_count,long_event_gap_fraction,notes
s33_evk4_ook_300hz_lux500_los_t1,ready,EVK4,OOK,300,303.1030310303104,500,artificial_room,LOS,controlled_baseline,50,0,748,748,21,2.85,12.85,captures/3.2/s32_energy_evk4_ook_synced_300hz_50cm_20260520/s32_energy_evk4_ook_synced_300hz_50cm_t1.raw,data/3.1/replication/s32_energy_evk4_ook_synced_300hz_50cm_decode_summary.csv,72984949,15.035808,10,7298494.9,,,,"Seeded from Section 3.2 300 Hz receiver-only energy capture; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux500_los_t2,ready,EVK4,OOK,300,303.150852860748,500,artificial_room,LOS,controlled_baseline,50,0,748,748,14,2.35,12.35,captures/3.2/s32_energy_evk4_ook_synced_300hz_50cm_20260520/s32_energy_evk4_ook_synced_300hz_50cm_t2.raw,data/3.1/replication/s32_energy_evk4_ook_synced_300hz_50cm_decode_summary.csv,72127573,14.003932,10,7212757.3,,,,"Seeded from Section 3.2 300 Hz receiver-only energy capture; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux500_los_t3,ready,EVK4,OOK,300,303.1518774166703,500,artificial_room,LOS,controlled_baseline,50,0,748,748,0,2.4,12.4,captures/3.2/s32_energy_evk4_ook_synced_300hz_50cm_20260520/s32_energy_evk4_ook_synced_300hz_50cm_t3.raw,data/3.1/replication/s32_energy_evk4_ook_synced_300hz_50cm_decode_summary.csv,72743723,14.147966,10,7274372.3,,,,"Seeded from Section 3.2 300 Hz receiver-only energy capture; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux116_los_t1,ready,EVK4,OOK,300,302.8624734622324,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,184,3.2,13.2,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T1.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,95049342,14.367907,10,9504934.2,,,,"Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux116_los_t2,ready,EVK4,OOK,300,302.9802535704029,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,160,3.1,13.1,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T2.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,95023074,14.247606,10,9502307.4,,,,"Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux116_los_t3,ready,EVK4,OOK,300,303.0146646582989,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,187,3.7,13.7,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T3.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,95000969,14.52378,10,9500096.9,,,,"Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux116_los_t4,ready,EVK4,OOK,300,302.9592012921425,116,local_phone_light,LOS,near_phone_light_los,50,0,748,748,155,3.35,13.35,captures/3.3/s33_ook_300hz_50cm_low_lux_los/lux116T4.raw,data/3.1/replication/s33_ook_300hz_50cm_low_lux_los_lux116_decode_summary.csv,94885153,14.11986,10,9488515.3,,,,"Local phone-camera light stress trial at measured 116 lux; phone light about 2 inches from EVK4 and shining down; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux237_los_t1,ready,EVK4,OOK,300,302.98133735548186,237,artificial_room,LOS,mid_lux_los,50,0,748,748,52,3.15,13.15,captures/3.3/s33_ook_300hz_50cm_mid_lux_los_lux237/lux237T1.raw,data/3.1/replication/s33_ook_300hz_50cm_mid_lux_los_lux237_decode_summary.csv,84751992,14.05578,10,8475199.2,,,,"Mid-lux clean LOS trial at measured 237 lux using normal room lights about 10 ft overhead; no phone light; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux237_los_t2,ready,EVK4,OOK,300,303.02567998393926,237,artificial_room,LOS,mid_lux_los,50,0,748,748,109,3.15,13.05,captures/3.3/s33_ook_300hz_50cm_mid_lux_los_lux237/lux237T2.raw,data/3.1/replication/s33_ook_300hz_50cm_mid_lux_los_lux237_decode_summary.csv,84831670,14.37989,9.9,8568855.555555556,,,,"Mid-lux clean LOS trial at measured 237 lux using normal room lights about 10 ft overhead; no phone light; f/4; synced-transition decoder."
s33_evk4_ook_300hz_lux237_los_t3,ready,EVK4,OOK,300,302.97854414469884,237,artificial_room,LOS,mid_lux_los,50,0,748,748,83,3.15,13,captures/3.3/s33_ook_300hz_50cm_mid_lux_los_lux237/lux237T3.raw,data/3.1/replication/s33_ook_300hz_50cm_mid_lux_los_lux237_decode_summary.csv,84838301,13.819973,9.85,8613025.482233502,,,,"Mid-lux clean LOS trial at measured 237 lux using normal room lights about 10 ft overhead; no phone light; f/4; synced-transition decoder."
