trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_patch130_500Hz_t1,s31_replication_patch130_500Hz_t1.raw,500.0,502.2370667583609,calibration_fft_autocorr,502.2370667583609,96991627,20596924,7.331626999999999,4.0,20589495,5147373.75,25.0,3.25,7.25,0.0,0.0,4.0,calibration_summary,calibration_summary,512,320,640,448,transition,0.0003185746544608984,1,4248.454769026254,8,2009,1991,181,11,0.06077348066298342,971,0.4876946258161728
s31_replication_patch130_500Hz_t2,s31_replication_patch130_500Hz_t2.raw,500.0,502.18162302205826,calibration_fft_autocorr,502.18162302205826,96996069,20596827,6.775919,3.6500000000000004,20590045,5641108.2191780815,25.0,3.0999999999999996,6.75,0.0,0.0,3.6500000000000004,calibration_summary,calibration_summary,512,320,640,448,transition,0.0015133966779318348,1,4773.780021834062,4,1833,1826,166,10,0.060240963855421686,884,0.484118291347207
s31_replication_patch130_1000Hz_t1,s31_replication_patch130_1000Hz_t1.raw,1000.0,986.4164062740558,calibration_fft_autocorr,1011.0768164309072,77720354,16678292,5.703842,2.15,16669824,7753406.511627907,25.0,2.85,5.0,0.0,0.0,2.15,calibration_summary,calibration_summary,512,320,640,448,transition,0.0007912356281929135,1,2791.546203584637,5,2174,2167,197,35,0.17766497461928935,861,0.39732348869404704
s31_replication_patch130_1000Hz_t2,s31_replication_patch130_1000Hz_t2.raw,1000.0,986.3475951097151,calibration_fft_autocorr,1011.006284987458,77720766,16677226,5.591919,2.2500000000000004,16669547,7408687.555555554,25.0,2.9499999999999997,5.2,0.0,0.0,2.2500000000000004,calibration_summary,calibration_summary,512,320,640,448,transition,0.0007912908276429996,0,3138.671331186176,6,2274,2266,206,36,0.17475728155339806,935,0.41262135922330095
s31_replication_patch130_1500Hz_t1,s31_replication_patch130_1500Hz_t1.raw,1500.0,1052.6315789473686,calibration_fft_autocorr,1513.1578947368425,58957396,13141394,5.963838,1.9499999999999997,13131298,6733998.974358975,25.0,3.15,5.1,0.0,0.0,1.9499999999999997,calibration_summary,calibration_summary,544,320,672,448,transition,0.00015860869565217388,0,2247.686291840869,9,2951,2937,267,52,0.1947565543071161,1100,0.37453183520599254
s31_replication_patch130_1500Hz_t2,s31_replication_patch130_1500Hz_t2.raw,1500.0,1052.6315789473686,calibration_fft_autocorr,1513.1578947368425,59018803,13142690,5.079908,1.9999999999999996,13135475,6567737.500000002,25.0,2.9,4.8999999999999995,0.0,0.0,1.9999999999999996,calibration_summary,calibration_summary,544,320,672,448,transition,0.0003965217391304347,0,2213.205140646515,2,3026,3014,274,67,0.24452554744525548,1200,0.39814200398142
s31_replication_patch130_2000Hz_t1,s31_replication_patch130_2000Hz_t1.raw,2000.0,1428.571428571429,calibration_fft_autocorr,2017.8571428571431,45948381,10419405,4.739828999999999,1.7000000000000002,10412177,6124809.999999999,25.0,3.0,4.7,0.0,0.0,1.7000000000000002,calibration_summary,calibration_summary,544,320,672,448,transition,0.00013876106194690265,1,1273.6618226816358,3,3431,3421,311,10,0.03215434083601286,1538,0.44957614732534346
s31_replication_patch130_2000Hz_t2,s31_replication_patch130_2000Hz_t2.raw,2000.0,1428.571428571429,calibration_fft_autocorr,2017.8571428571431,45942338,10419216,4.963991,1.6499999999999995,10411269,6309860.000000002,25.0,3.0,4.6499999999999995,0.0,0.0,1.6499999999999995,calibration_summary,calibration_summary,544,320,672,448,transition,0.00047575221238938046,0,1323.1555187845786,0,3329,3322,302,10,0.033112582781456956,1691,0.5090307043949428
s31_replication_patch130_2500Hz_t1,s31_replication_patch130_2500Hz_t1.raw,2500.0,1980.5379458083594,calibration_fft_autocorr,1683.4572539371056,36822893,8526858,4.4477009999999995,1.5977009999999994,8520274,5332833.865660723,25.0,2.85,4.4477009999999995,0.0,0.0,1.5977009999999994,calibration_summary,calibration_summary,544,320,672,448,transition,0.0002613668977759732,0,1410.2373701589433,8,2690,2673,243,3,0.012345679012345678,1251,0.468013468013468
s31_replication_patch130_2500Hz_t2,s31_replication_patch130_2500Hz_t2.raw,2500.0,1978.6232562768985,calibration_fft_autocorr,1681.8297678353638,36867523,8528506,4.715838,1.5500000000000003,8521339,5497638.064516128,25.0,3.15,4.7,0.0,0.0,1.5500000000000003,calibration_summary,calibration_summary,544,320,672,448,transition,7.135085981647754e-05,1,1404.7091809694166,10,2607,2596,236,2,0.00847457627118644,1208,0.46533127889060094
